Entity,Code,Date,"Daily new confirmed cases of COVID-19 per million people (rolling 3-day average, right-aligned)"
Afghanistan,AFG,"Feb 25, 2020",0.00867
Afghanistan,AFG,"Feb 26, 2020",0.00867
Afghanistan,AFG,"Feb 27, 2020",0.00867
Afghanistan,AFG,"Mar 8, 2020",0.077
Afghanistan,AFG,"Mar 9, 2020",0.077
Afghanistan,AFG,"Mar 10, 2020",0.077
Afghanistan,AFG,"Mar 11, 2020",0.077
Afghanistan,AFG,"Mar 12, 2020",0.077
Afghanistan,AFG,"Mar 13, 2020",0.077
Afghanistan,AFG,"Mar 15, 2020",0.077
Afghanistan,AFG,"Mar 16, 2020",0.1155
Afghanistan,AFG,"Mar 17, 2020",0.11967
Afghanistan,AFG,"Mar 18, 2020",0.10267
Afghanistan,AFG,"Mar 19, 2020",0.05133
Afghanistan,AFG,"Mar 20, 2020",0.00867
Afghanistan,AFG,"Mar 21, 2020",0.017
Afghanistan,AFG,"Mar 22, 2020",0.017
Afghanistan,AFG,"Mar 23, 2020",0.10267
Afghanistan,AFG,"Mar 24, 2020",0.137
Afghanistan,AFG,"Mar 25, 2020",0.154
Afghanistan,AFG,"Mar 26, 2020",0.351
Afghanistan,AFG,"Mar 27, 2020",0.29967
Afghanistan,AFG,"Mar 28, 2020",0.41967
Afghanistan,AFG,"Mar 29, 2020",0.26533
Afghanistan,AFG,"Mar 30, 2020",0.334
Afghanistan,AFG,"Mar 31, 2020",0.42833
Afghanistan,AFG,"Apr 1, 2020",0.514
Afghanistan,AFG,"Apr 2, 2020",0.668
Afghanistan,AFG,"Apr 3, 2020",0.805
Afghanistan,AFG,"Apr 4, 2020",0.591
Afghanistan,AFG,"Apr 5, 2020",0.668
Afghanistan,AFG,"Apr 6, 2020",0.548
Afghanistan,AFG,"Apr 7, 2020",0.87333
Afghanistan,AFG,"Apr 8, 2020",0.83067
Afghanistan,AFG,"Apr 9, 2020",1.062
Afghanistan,AFG,"Apr 10, 2020",1.259
Afghanistan,AFG,"Apr 11, 2020",1.31867
Afghanistan,AFG,"Apr 12, 2020",1.13
Afghanistan,AFG,"Apr 13, 2020",1.053
Afghanistan,AFG,"Apr 14, 2020",1.233
Afghanistan,AFG,"Apr 15, 2020",1.36167
Afghanistan,AFG,"Apr 16, 2020",1.51567
Afghanistan,AFG,"Apr 17, 2020",1.10467
Afghanistan,AFG,"Apr 18, 2020",1.12167
Afghanistan,AFG,"Apr 19, 2020",1.06167
Afghanistan,AFG,"Apr 20, 2020",1.72967
Afghanistan,AFG,"Apr 21, 2020",1.59267
Afghanistan,AFG,"Apr 22, 2020",1.57567
Afghanistan,AFG,"Apr 23, 2020",1.54133
Afghanistan,AFG,"Apr 24, 2020",2.14067
Afghanistan,AFG,"Apr 25, 2020",2.21767
Afghanistan,AFG,"Apr 26, 2020",2.45733
Afghanistan,AFG,"Apr 27, 2020",2.14067
Afghanistan,AFG,"Apr 28, 2020",3.014
Afghanistan,AFG,"Apr 29, 2020",3.11667
Afghanistan,AFG,"Apr 30, 2020",3.579
Afghanistan,AFG,"May 1, 2020",4.00733
Afghanistan,AFG,"May 2, 2020",4.35
Africa,,"Feb 15, 2020",0.00033
Africa,,"Feb 16, 2020",0.00033
Africa,,"Feb 17, 2020",0.00033
Africa,,"Feb 26, 2020",0.00033
Africa,,"Feb 27, 2020",0.00033
Africa,,"Feb 28, 2020",0.00067
Africa,,"Feb 29, 2020",0.00033
Africa,,"Mar 1, 2020",0.00067
Africa,,"Mar 2, 2020",0.00067
Africa,,"Mar 3, 2020",0.00133
Africa,,"Mar 4, 2020",0.00133
Africa,,"Mar 5, 2020",0.00333
Africa,,"Mar 6, 2020",0.005
Africa,,"Mar 7, 2020",0.008
Africa,,"Mar 8, 2020",0.006
Africa,,"Mar 9, 2020",0.01333
Africa,,"Mar 10, 2020",0.013
Africa,,"Mar 11, 2020",0.015
Africa,,"Mar 12, 2020",0.00867
Africa,,"Mar 13, 2020",0.016
Africa,,"Mar 14, 2020",0.02433
Africa,,"Mar 15, 2020",0.03033
Africa,,"Mar 16, 2020",0.041
Africa,,"Mar 17, 2020",0.04967
Africa,,"Mar 18, 2020",0.06333
Africa,,"Mar 19, 2020",0.077
Africa,,"Mar 20, 2020",0.08533
Africa,,"Mar 21, 2020",0.11967
Africa,,"Mar 22, 2020",0.135
Africa,,"Mar 23, 2020",0.16033
Africa,,"Mar 24, 2020",0.18967
Africa,,"Mar 25, 2020",0.25533
Africa,,"Mar 26, 2020",0.32333
Africa,,"Mar 27, 2020",0.383
Africa,,"Mar 28, 2020",0.398
Africa,,"Mar 29, 2020",0.35667
Africa,,"Mar 30, 2020",0.336
Africa,,"Mar 31, 2020",0.33167
Africa,,"Apr 1, 2020",0.37367
Africa,,"Apr 2, 2020",0.40267
Africa,,"Apr 3, 2020",0.43433
Africa,,"Apr 4, 2020",0.468
Africa,,"Apr 5, 2020",0.545
Africa,,"Apr 6, 2020",0.56967
Africa,,"Apr 7, 2020",0.57033
Africa,,"Apr 8, 2020",0.51833
Africa,,"Apr 9, 2020",0.565
Africa,,"Apr 10, 2020",0.61633
Africa,,"Apr 11, 2020",0.60367
Africa,,"Apr 12, 2020",0.552
Africa,,"Apr 13, 2020",0.55767
Africa,,"Apr 14, 2020",0.582
Africa,,"Apr 15, 2020",0.65033
Africa,,"Apr 16, 2020",0.67667
Africa,,"Apr 17, 2020",0.75533
Africa,,"Apr 18, 2020",0.89933
Africa,,"Apr 19, 2020",0.94833
Africa,,"Apr 20, 2020",0.988
Africa,,"Apr 21, 2020",0.83767
Africa,,"Apr 22, 2020",0.885
Africa,,"Apr 23, 2020",0.841
Africa,,"Apr 24, 2020",0.983
Africa,,"Apr 25, 2020",1.10833
Africa,,"Apr 26, 2020",1.15133
Africa,,"Apr 27, 2020",1.12567
Africa,,"Apr 28, 2020",1.01667
Africa,,"Apr 29, 2020",1.148
Africa,,"Apr 30, 2020",1.24033
Africa,,"May 1, 2020",1.41433
Africa,,"May 2, 2020",1.44833
Albania,ALB,"Mar 9, 2020",0.695
Albania,ALB,"Mar 10, 2020",1.0425
Albania,ALB,"Mar 11, 2020",1.15833
Albania,ALB,"Mar 12, 2020",1.04233
Albania,ALB,"Mar 13, 2020",1.969
Albania,ALB,"Mar 14, 2020",2.664
Albania,ALB,"Mar 15, 2020",3.12733
Albania,ALB,"Mar 16, 2020",2.20067
Albania,ALB,"Mar 17, 2020",2.08467
Albania,ALB,"Mar 18, 2020",1.969
Albania,ALB,"Mar 19, 2020",1.969
Albania,ALB,"Mar 20, 2020",2.20067
Albania,ALB,"Mar 21, 2020",1.73733
Albania,ALB,"Mar 22, 2020",1.969
Albania,ALB,"Mar 23, 2020",2.20067
Albania,ALB,"Mar 24, 2020",3.47467
Albania,ALB,"Mar 25, 2020",5.44367
Albania,ALB,"Mar 26, 2020",6.602
Albania,ALB,"Mar 27, 2020",8.57133
Albania,ALB,"Mar 28, 2020",7.29733
Albania,ALB,"Mar 29, 2020",5.90733
Albania,ALB,"Mar 30, 2020",4.40133
Albania,ALB,"Mar 31, 2020",4.28533
Albania,ALB,"Apr 1, 2020",5.328
Albania,ALB,"Apr 2, 2020",5.444
Albania,ALB,"Apr 3, 2020",6.255
Albania,ALB,"Apr 4, 2020",7.06567
Albania,ALB,"Apr 5, 2020",8.57133
Albania,ALB,"Apr 6, 2020",9.72967
Albania,ALB,"Apr 7, 2020",8.45567
Albania,ALB,"Apr 8, 2020",5.79167
Albania,ALB,"Apr 9, 2020",4.51733
Albania,ALB,"Apr 10, 2020",3.70633
Albania,ALB,"Apr 11, 2020",3.822
Albania,ALB,"Apr 12, 2020",3.822
Albania,ALB,"Apr 13, 2020",4.28533
Albania,ALB,"Apr 14, 2020",5.907
Albania,ALB,"Apr 15, 2020",4.86467
Albania,ALB,"Apr 16, 2020",5.55967
Albania,ALB,"Apr 17, 2020",5.90733
Albania,ALB,"Apr 18, 2020",7.413
Albania,ALB,"Apr 19, 2020",6.25467
Albania,ALB,"Apr 20, 2020",5.09633
Albania,ALB,"Apr 21, 2020",5.21233
Albania,ALB,"Apr 22, 2020",7.06567
Albania,ALB,"Apr 23, 2020",8.33967
