,date,location,new_cases,new_deaths,total_cases,total_deaths,Date,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions
0,2019-12-31,Austria,0,0,0,0,2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-01,Austria,0,0,0,0,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-02,Austria,0,0,0,0,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-03,Austria,0,0,0,0,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-04,Austria,0,0,0,0,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-05,Austria,0,0,0,0,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-06,Austria,0,0,0,0,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-07,Austria,0,0,0,0,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-08,Austria,0,0,0,0,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-09,Austria,0,0,0,0,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-10,Austria,0,0,0,0,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-11,Austria,0,0,0,0,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-12,Austria,0,0,0,0,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-01-13,Austria,0,0,0,0,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-14,Austria,0,0,0,0,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-15,Austria,0,0,0,0,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-16,Austria,0,0,0,0,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-17,Austria,0,0,0,0,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-01-18,Austria,0,0,0,0,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-01-19,Austria,0,0,0,0,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-01-20,Austria,0,0,0,0,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-01-21,Austria,0,0,0,0,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-01-22,Austria,0,0,0,0,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-01-23,Austria,0,0,0,0,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-01-24,Austria,0,0,0,0,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-01-25,Austria,0,0,0,0,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-01-26,Austria,0,0,0,0,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-01-27,Austria,0,0,0,0,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-01-28,Austria,0,0,0,0,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-01-29,Austria,0,0,0,0,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-01-30,Austria,0,0,0,0,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-01-31,Austria,0,0,0,0,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-02-01,Austria,0,0,0,0,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-02-02,Austria,0,0,0,0,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-02-03,Austria,0,0,0,0,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-02-04,Austria,0,0,0,0,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-02-05,Austria,0,0,0,0,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-02-06,Austria,0,0,0,0,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-02-07,Austria,0,0,0,0,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-02-08,Austria,0,0,0,0,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-02-09,Austria,0,0,0,0,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-02-10,Austria,0,0,0,0,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-02-11,Austria,0,0,0,0,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-02-12,Austria,0,0,0,0,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-02-13,Austria,0,0,0,0,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-02-14,Austria,0,0,0,0,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-02-15,Austria,0,0,0,0,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-02-16,Austria,0,0,0,0,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-02-17,Austria,0,0,0,0,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-02-18,Austria,0,0,0,0,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-02-19,Austria,0,0,0,0,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-02-20,Austria,0,0,0,0,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-02-21,Austria,0,0,0,0,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-02-22,Austria,0,0,0,0,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-02-23,Austria,0,0,0,0,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-02-24,Austria,0,0,0,0,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-02-25,Austria,0,0,0,0,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-02-26,Austria,2,0,2,0,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-02-27,Austria,0,0,2,0,2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-02-28,Austria,3,0,5,0,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-02-29,Austria,2,0,7,0,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-03-01,Austria,3,0,10,0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-03-02,Austria,4,0,14,0,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
63,2020-03-03,Austria,4,0,18,0,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
64,2020-03-04,Austria,6,0,24,0,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-03-05,Austria,5,0,29,0,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-03-06,Austria,12,0,41,0,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-03-07,Austria,33,0,74,0,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
68,2020-03-08,Austria,25,0,99,0,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
69,2020-03-09,Austria,3,0,102,0,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
70,2020-03-10,Austria,29,0,131,0,2020-03-10,0.0,0.0,0.0,0.0,1.0,1.0
71,2020-03-11,Austria,51,0,182,0,2020-03-11,0.0,0.0,0.0,0.0,2.0,4.0
72,2020-03-12,Austria,64,0,246,0,2020-03-12,0.0,0.0,0.0,0.0,3.0,7.0
73,2020-03-13,Austria,115,1,361,1,2020-03-13,0.0,1.0,1.0,0.0,4.0,10.0
74,2020-03-14,Austria,143,0,504,1,2020-03-14,0.0,2.0,2.0,0.0,5.0,13.0
75,2020-03-15,Austria,151,0,655,1,2020-03-15,0.0,3.0,3.0,0.0,6.0,16.0
76,2020-03-16,Austria,205,0,860,1,2020-03-16,1.0,4.0,4.0,0.0,9.0,20.0
77,2020-03-17,Austria,156,2,1016,3,2020-03-17,2.0,6.0,5.0,0.0,12.0,24.0
78,2020-03-18,Austria,316,0,1332,3,2020-03-18,3.0,8.0,6.0,0.0,15.0,28.0
79,2020-03-19,Austria,314,1,1646,4,2020-03-19,4.0,10.0,8.0,0.0,18.0,32.0
80,2020-03-20,Austria,550,2,2196,6,2020-03-20,5.0,12.0,10.0,0.0,21.0,36.0
81,2020-03-21,Austria,453,0,2649,6,2020-03-21,6.0,15.0,12.0,0.0,24.0,40.0
82,2020-03-22,Austria,375,2,3024,8,2020-03-22,7.0,18.0,14.0,0.0,27.0,45.0
83,2020-03-23,Austria,607,8,3631,16,2020-03-23,8.0,21.0,16.0,0.0,30.0,50.0
84,2020-03-24,Austria,855,9,4486,25,2020-03-24,9.0,24.0,18.0,0.0,33.0,55.0
85,2020-03-25,Austria,796,5,5282,30,2020-03-25,10.0,27.0,20.0,0.0,36.0,61.0
86,2020-03-26,Austria,606,4,5888,34,2020-03-26,11.0,30.0,22.0,0.0,39.0,67.0
87,2020-03-27,Austria,1141,18,7029,52,2020-03-27,12.0,34.0,24.0,0.0,42.0,73.0
88,2020-03-28,Austria,668,16,7697,68,2020-03-28,13.0,38.0,26.0,0.0,45.0,79.0
89,2020-03-29,Austria,594,0,8291,68,2020-03-29,14.0,42.0,28.0,0.0,48.0,85.0
90,2020-03-30,Austria,522,18,8813,86,2020-03-30,15.0,46.0,30.0,0.0,51.0,91.0
91,2020-03-31,Austria,805,22,9618,108,2020-03-31,16.0,51.0,32.0,0.0,54.0,97.0
