,date,location,new_cases,new_deaths,total_cases,total_deaths,Date,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions
0,2019-12-31,Iran,0,0,0,0,2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-01,Iran,0,0,0,0,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-02,Iran,0,0,0,0,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-03,Iran,0,0,0,0,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-04,Iran,0,0,0,0,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-05,Iran,0,0,0,0,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-06,Iran,0,0,0,0,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-07,Iran,0,0,0,0,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-08,Iran,0,0,0,0,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-09,Iran,0,0,0,0,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-10,Iran,0,0,0,0,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-11,Iran,0,0,0,0,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-12,Iran,0,0,0,0,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-01-13,Iran,0,0,0,0,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-14,Iran,0,0,0,0,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-15,Iran,0,0,0,0,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-16,Iran,0,0,0,0,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-17,Iran,0,0,0,0,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-01-18,Iran,0,0,0,0,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-01-19,Iran,0,0,0,0,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-01-20,Iran,0,0,0,0,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-01-21,Iran,0,0,0,0,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-01-22,Iran,0,0,0,0,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-01-23,Iran,0,0,0,0,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-01-24,Iran,0,0,0,0,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-01-25,Iran,0,0,0,0,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-01-26,Iran,0,0,0,0,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-01-27,Iran,0,0,0,0,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-01-28,Iran,0,0,0,0,2020-01-28,0.0,2.0,0.0,0.0,0.0,0.0
29,2020-01-29,Iran,0,0,0,0,2020-01-29,0.0,4.0,0.0,0.0,0.0,0.0
30,2020-01-30,Iran,0,0,0,0,2020-01-30,0.0,6.0,0.0,0.0,0.0,0.0
31,2020-01-31,Iran,0,0,0,0,2020-01-31,1.0,9.0,0.0,0.0,0.0,1.0
32,2020-02-01,Iran,0,0,0,0,2020-02-01,2.0,12.0,0.0,0.0,0.0,2.0
33,2020-02-02,Iran,0,0,0,0,2020-02-02,3.0,15.0,0.0,0.0,0.0,3.0
34,2020-02-03,Iran,0,0,0,0,2020-02-03,4.0,18.0,0.0,0.0,0.0,4.0
35,2020-02-04,Iran,0,0,0,0,2020-02-04,5.0,21.0,0.0,0.0,0.0,5.0
36,2020-02-05,Iran,0,0,0,0,2020-02-05,6.0,24.0,0.0,0.0,0.0,6.0
37,2020-02-06,Iran,0,0,0,0,2020-02-06,7.0,27.0,0.0,0.0,0.0,7.0
38,2020-02-07,Iran,0,0,0,0,2020-02-07,8.0,30.0,0.0,0.0,0.0,8.0
39,2020-02-08,Iran,0,0,0,0,2020-02-08,9.0,33.0,0.0,0.0,0.0,9.0
40,2020-02-09,Iran,0,0,0,0,2020-02-09,10.0,36.0,0.0,0.0,0.0,10.0
41,2020-02-10,Iran,0,0,0,0,2020-02-10,11.0,39.0,0.0,0.0,0.0,11.0
42,2020-02-11,Iran,0,0,0,0,2020-02-11,12.0,42.0,0.0,0.0,0.0,12.0
43,2020-02-12,Iran,0,0,0,0,2020-02-12,13.0,45.0,0.0,0.0,0.0,13.0
44,2020-02-13,Iran,0,0,0,0,2020-02-13,14.0,48.0,0.0,0.0,0.0,14.0
45,2020-02-14,Iran,0,0,0,0,2020-02-14,15.0,51.0,0.0,0.0,0.0,15.0
46,2020-02-15,Iran,0,0,0,0,2020-02-15,16.0,54.0,0.0,0.0,0.0,16.0
47,2020-02-16,Iran,0,0,0,0,2020-02-16,17.0,57.0,0.0,0.0,0.0,17.0
48,2020-02-17,Iran,0,0,0,0,2020-02-17,18.0,60.0,0.0,0.0,0.0,18.0
49,2020-02-18,Iran,0,0,0,0,2020-02-18,19.0,63.0,0.0,0.0,0.0,19.0
50,2020-02-19,Iran,0,0,0,0,2020-02-19,20.0,66.0,0.0,0.0,0.0,20.0
51,2020-02-20,Iran,2,2,2,2,2020-02-20,21.0,69.0,0.0,0.0,0.0,21.0
52,2020-02-21,Iran,3,0,5,2,2020-02-21,22.0,72.0,0.0,0.0,0.0,22.0
53,2020-02-22,Iran,13,2,18,4,2020-02-22,23.0,75.0,0.0,0.0,0.0,23.0
54,2020-02-23,Iran,10,1,28,5,2020-02-23,24.0,78.0,0.0,0.0,0.0,24.0
55,2020-02-24,Iran,15,3,43,8,2020-02-24,25.0,81.0,0.0,0.0,0.0,25.0
56,2020-02-25,Iran,18,4,61,12,2020-02-25,26.0,84.0,0.0,0.0,0.0,26.0
57,2020-02-26,Iran,34,3,95,15,2020-02-26,27.0,87.0,0.0,0.0,0.0,27.0
58,2020-02-27,Iran,44,4,139,19,2020-02-27,28.0,90.0,0.0,0.0,1.0,29.0
59,2020-02-28,Iran,106,7,245,26,2020-02-28,29.0,93.0,0.0,0.0,2.0,31.0
60,2020-02-29,Iran,143,8,388,34,2020-02-29,30.0,96.0,1.0,0.0,3.0,33.0
61,2020-03-01,Iran,205,9,593,43,2020-03-01,31.0,99.0,2.0,0.0,4.0,35.0
62,2020-03-02,Iran,385,11,978,54,2020-03-02,32.0,102.0,3.0,0.0,5.0,37.0
63,2020-03-03,Iran,523,12,1501,66,2020-03-03,33.0,105.0,4.0,0.0,6.0,39.0
64,2020-03-04,Iran,835,11,2336,77,2020-03-04,34.0,108.0,5.0,0.0,7.0,41.0
65,2020-03-05,Iran,586,15,2922,92,2020-03-05,35.0,112.0,6.0,0.0,8.0,43.0
66,2020-03-06,Iran,591,15,3513,107,2020-03-06,36.0,116.0,7.0,0.0,9.0,45.0
67,2020-03-07,Iran,1234,17,4747,124,2020-03-07,37.0,120.0,8.0,0.0,10.0,47.0
68,2020-03-08,Iran,1076,21,5823,145,2020-03-08,38.0,124.0,9.0,0.0,12.0,50.0
69,2020-03-09,Iran,743,49,6566,194,2020-03-09,39.0,128.0,10.0,0.0,14.0,53.0
70,2020-03-10,Iran,595,43,7161,237,2020-03-10,40.0,132.0,11.0,0.0,16.0,56.0
71,2020-03-11,Iran,881,54,8042,291,2020-03-11,41.0,136.0,12.0,0.0,18.0,59.0
72,2020-03-12,Iran,958,63,9000,354,2020-03-12,42.0,140.0,13.0,0.0,20.0,62.0
73,2020-03-13,Iran,1075,75,10075,429,2020-03-13,43.0,144.0,14.0,0.0,22.0,65.0
74,2020-03-14,Iran,1289,85,11364,514,2020-03-14,44.0,148.0,15.0,0.0,24.0,68.0
75,2020-03-15,Iran,1365,97,12729,611,2020-03-15,45.0,152.0,16.0,0.0,26.0,71.0
76,2020-03-16,Iran,1209,113,13938,724,2020-03-16,46.0,156.0,17.0,0.0,28.0,74.0
77,2020-03-17,Iran,1053,129,14991,853,2020-03-17,47.0,161.0,18.0,0.0,30.0,77.0
78,2020-03-18,Iran,1178,135,16169,988,2020-03-18,48.0,166.0,19.0,0.0,32.0,80.0
79,2020-03-19,Iran,1192,147,17361,1135,2020-03-19,49.0,171.0,20.0,0.0,34.0,83.0
80,2020-03-20,Iran,1046,149,18407,1284,2020-03-20,50.0,176.0,21.0,0.0,36.0,86.0
81,2020-03-21,Iran,1237,149,19644,1433,2020-03-21,51.0,181.0,22.0,0.0,38.0,89.0
82,2020-03-22,Iran,966,123,20610,1556,2020-03-22,52.0,186.0,23.0,0.0,40.0,92.0
83,2020-03-23,Iran,1028,129,21638,1685,2020-03-23,53.0,191.0,24.0,0.0,42.0,95.0
84,2020-03-24,Iran,1411,127,23049,1812,2020-03-24,54.0,196.0,25.0,0.0,44.0,98.0
85,2020-03-25,Iran,1762,122,24811,1934,2020-03-25,55.0,201.0,26.0,0.0,46.0,101.0
86,2020-03-26,Iran,2206,143,27017,2077,2020-03-26,56.0,206.0,27.0,0.0,48.0,104.0
87,2020-03-27,Iran,2389,157,29406,2234,2020-03-27,57.0,211.0,28.0,0.0,50.0,107.0
88,2020-03-28,Iran,2926,144,32332,2378,2020-03-28,58.0,216.0,29.0,0.0,52.0,110.0
89,2020-03-29,Iran,3076,139,35408,2517,2020-03-29,59.0,221.0,30.0,0.0,54.0,113.0
90,2020-03-30,Iran,2901,123,38309,2640,2020-03-30,60.0,226.0,31.0,0.0,56.0,116.0
91,2020-03-31,Iran,3186,117,41495,2757,2020-03-31,61.0,231.0,32.0,0.0,58.0,119.0
92,2020-04-01,Iran,3111,141,44606,2898,2020-04-01,62.0,236.0,33.0,0.0,60.0,122.0
93,2020-04-02,Iran,2987,138,47593,3036,2020-04-02,63.0,241.0,34.0,0.0,62.0,125.0
94,2020-04-03,Iran,2875,124,50468,3160,2020-04-03,64.0,246.0,35.0,0.0,64.0,128.0
95,2020-04-04,Iran,0,0,50468,3160,2020-04-04,65.0,251.0,36.0,0.0,66.0,131.0
96,2020-04-05,Iran,5275,292,55743,3452,2020-04-05,66.0,256.0,37.0,0.0,68.0,134.0
97,2020-04-06,Iran,2483,151,58226,3603,2020-04-06,67.0,261.0,38.0,0.0,70.0,137.0
98,2020-04-07,Iran,2274,136,60500,3739,2020-04-07,68.0,266.0,39.0,0.0,72.0,140.0
99,2020-04-08,Iran,2089,133,62589,3872,2020-04-08,69.0,271.0,40.0,0.0,74.0,143.0
100,2020-04-09,Iran,1997,121,64586,3993,2020-04-09,70.0,276.0,41.0,0.0,76.0,146.0
101,2020-04-10,Iran,1634,117,66220,4110,2020-04-10,71.0,281.0,42.0,0.0,78.0,149.0
102,2020-04-11,Iran,1972,122,68192,4232,2020-04-11,72.0,286.0,43.0,0.0,80.0,152.0
103,2020-04-12,Iran,1837,125,70029,4357,2020-04-12,73.0,291.0,44.0,0.0,82.0,155.0
104,2020-04-13,Iran,1657,117,71686,4474,2020-04-13,74.0,296.0,45.0,0.0,84.0,158.0
105,2020-04-14,Iran,1617,111,73303,4585,2020-04-14,75.0,301.0,46.0,0.0,86.0,161.0
106,2020-04-15,Iran,1574,98,74877,4683,2020-04-15,76.0,306.0,47.0,0.0,88.0,164.0
107,2020-04-16,Iran,1512,94,76389,4777,2020-04-16,77.0,311.0,48.0,0.0,90.0,167.0
108,2020-04-17,Iran,1606,92,77995,4869,2020-04-17,78.0,316.0,49.0,0.0,92.0,170.0
109,2020-04-18,Iran,1499,89,79494,4958,2020-04-18,79.0,321.0,50.0,0.0,94.0,173.0
110,2020-04-19,Iran,1374,73,80868,5031,2020-04-19,80.0,326.0,51.0,0.0,97.0,176.0
111,2020-04-20,Iran,1343,87,82211,5118,2020-04-20,81.0,331.0,52.0,0.0,100.0,179.0
112,2020-04-21,Iran,1294,91,83505,5209,2020-04-21,82.0,336.0,53.0,0.0,103.0,182.0
113,2020-04-22,Iran,1297,88,84802,5297,2020-04-22,83.0,341.0,54.0,0.0,106.0,185.0
114,2020-04-23,Iran,1194,94,85996,5391,2020-04-23,84.0,346.0,55.0,0.0,109.0,188.0
115,2020-04-24,Iran,1030,90,87026,5481,2020-04-24,85.0,351.0,56.0,0.0,112.0,191.0
116,2020-04-25,Iran,1168,93,88194,5574,2020-04-25,86.0,356.0,57.0,0.0,115.0,194.0
117,2020-04-26,Iran,1134,76,89328,5650,2020-04-26,87.0,362.0,58.0,0.0,118.0,197.0
118,2020-04-27,Iran,1153,60,90481,5710,2020-04-27,88.0,368.0,59.0,0.0,121.0,200.0
119,2020-04-28,Iran,991,96,91472,5806,2020-04-28,89.0,374.0,60.0,0.0,124.0,203.0
120,2020-04-29,Iran,1112,71,92584,5877,2020-04-29,90.0,380.0,61.0,0.0,127.0,206.0
121,2020-04-30,Iran,1073,80,93657,5957,2020-04-30,91.0,386.0,62.0,0.0,130.0,209.0
122,2020-05-01,Iran,983,71,94640,6028,2020-05-01,92.0,392.0,63.0,0.0,133.0,212.0
123,2020-05-02,Iran,1006,63,95646,6091,2020-05-02,93.0,398.0,64.0,0.0,136.0,215.0
