dateRep,cum_day,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Daily  total tests,Daily change in cumulative total tests per thousand,Total tests per thousand
31-12-2019,1,31,12,2019,0,0,Belgium,BE,BEL,11422068,0,0,0
01-01-2020,2,1,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
02-01-2020,3,2,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
03-01-2020,4,3,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
04-01-2020,5,4,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
05-01-2020,6,5,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
06-01-2020,7,6,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
07-01-2020,8,7,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
08-01-2020,9,8,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
09-01-2020,10,9,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
10-01-2020,11,10,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
11-01-2020,12,11,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
12-01-2020,13,12,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
13-01-2020,14,13,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
14-01-2020,15,14,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
15-01-2020,16,15,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
16-01-2020,17,16,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
17-01-2020,18,17,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
18-01-2020,19,18,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
19-01-2020,20,19,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
20-01-2020,21,20,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
21-01-2020,22,21,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
22-01-2020,23,22,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
23-01-2020,24,23,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
24-01-2020,25,24,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
25-01-2020,26,25,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
26-01-2020,27,26,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
27-01-2020,28,27,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
28-01-2020,29,28,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
29-01-2020,30,29,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
30-01-2020,31,30,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
31-01-2020,32,31,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
01-02-2020,33,1,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
02-02-2020,34,2,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
03-02-2020,35,3,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
04-02-2020,36,4,2,2020,1,0,Belgium,BE,BEL,11422068,1,0,0
05-02-2020,37,5,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
06-02-2020,38,6,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
07-02-2020,39,7,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
08-02-2020,40,8,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
09-02-2020,41,9,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
10-02-2020,42,10,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
11-02-2020,43,11,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
12-02-2020,44,12,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
13-02-2020,45,13,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
14-02-2020,46,14,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
15-02-2020,47,15,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0
