Date,day,month,year,popData2018,Daily_total_tests,Daily_tests_per_thousand,tests_per_thousand,cases,deaths,Lockdown,Public_Health,Governance_and_socioeconomic,Humanitarian_exemption,Social_distancing,Movement_restrictions
2019-12-31,31,12,2019,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-01,1,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-02,2,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-03,3,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-04,4,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-05,5,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-06,6,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-07,7,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-08,8,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-09,9,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-10,10,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-11,11,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-12,12,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-13,13,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-14,14,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-15,15,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-16,16,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-17,17,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-18,18,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-19,19,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-20,20,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-21,21,1,2020,60431283,5,0,0,0,0,0,0,0,0,0,0
2020-01-22,22,1,2020,60431283,5,0,0,0,0,0,0,1,0,0,0
2020-01-23,23,1,2020,60431283,5,0,0,0,0,0,1,2,0,0,0
2020-01-24,24,1,2020,60431283,5,0,0,0,0,0,2,3,0,0,0
2020-01-25,25,1,2020,60431283,5,0,0,0,0,0,3,4,0,0,0
2020-01-26,26,1,2020,60431283,5,0,0,0,0,0,4,5,0,0,0
2020-01-27,27,1,2020,60431283,5,0,0,0,0,0,6,6,0,0,0
2020-01-28,28,1,2020,60431283,5,0,0,0,0,0,8,7,0,0,0
2020-01-29,29,1,2020,60431283,5,0,0,0,0,0,10,8,0,0,0
2020-01-30,30,1,2020,60431283,5,0,0,0,0,0,12,9,0,0,0
2020-01-31,31,1,2020,60431283,8,0,0,3,0,0,14,11,0,0,1
2020-02-01,1,2,2020,60431283,5,0,0,0,0,0,16,13,0,0,2
2020-02-02,2,2,2020,60431283,5,0,0,0,0,0,18,15,0,0,3
2020-02-03,3,2,2020,60431283,5,0,0,0,0,0,20,17,0,0,4
2020-02-04,4,2,2020,60431283,5,0,0,0,0,0,22,19,0,0,5
2020-02-05,5,2,2020,60431283,5,0,0,0,0,0,24,21,0,0,6
2020-02-06,6,2,2020,60431283,5,0,0,0,0,0,26,23,0,0,7
2020-02-07,7,2,2020,60431283,5,0,0,0,0,0,28,25,0,0,8
2020-02-08,8,2,2020,60431283,5,0,0,0,0,0,30,27,0,0,9
2020-02-09,9,2,2020,60431283,5,0,0,0,0,0,32,29,0,0,10
2020-02-10,10,2,2020,60431283,5,0,0,0,0,0,34,31,0,0,11
2020-02-11,11,2,2020,60431283,5,0,0,0,0,0,36,33,0,0,12
2020-02-12,12,2,2020,60431283,5,0,0,0,0,0,38,35,0,0,13
2020-02-13,13,2,2020,60431283,5,0,0,0,0,0,40,37,0,0,14
2020-02-14,14,2,2020,60431283,5,0,0,0,0,0,42,39,0,0,15
2020-02-15,15,2,2020,60431283,5,0,0,0,0,0,44,41,0,0,16
2020-02-16,16,2,2020,60431283,5,0,0,0,0,0,46,43,0,0,17
2020-02-17,17,2,2020,60431283,5,0,0,0,0,0,48,45,0,0,18
2020-02-18,18,2,2020,60431283,5,0,0,0,0,0,50,47,0,0,19
2020-02-19,19,2,2020,60431283,5,0,0,0,0,0,52,49,0,0,20
2020-02-20,20,2,2020,60431283,5,0,0,0,0,0,54,51,0,0,21
2020-02-21,21,2,2020,60431283,5,0,0,0,0,0,56,53,0,1,22
2020-02-22,22,2,2020,60431283,19,0,0,14,0,0,58,55,0,2,23
2020-02-23,23,2,2020,60431283,2510.854545,0.036530303,0.036530303,62,2,0,60,57,0,3,24
2020-02-24,24,2,2020,60431283,2568.2,0.073,0.073,53,0,0,62,59,0,4,25
2020-02-25,25,2,2020,60431283,4299,0.016,0.146,97,4,0,64,61,0,6,26
2020-02-26,26,2,2020,60431283,964,0.041,0.162,93,5,0,66,63,0,8,27
2020-02-27,27,2,2020,60431283,2427,0.062,0.203,78,1,0,68,65,0,10,28
2020-02-28,28,2,2020,60431283,3681,0.05,0.265,250,5,0,70,67,0,12,29
2020-02-29,29,2,2020,60431283,2966,0.042,0.316,238,4,0,72,69,0,14,30
2020-03-01,1,3,2020,60431283,2466,0.038,0.357,240,8,0,74,71,0,16,31
2020-03-02,2,3,2020,60431283,2218,0.042,0.395,561,6,0,76,73,0,18,32
2020-03-03,3,3,2020,60431283,2511,0.067,0.437,347,17,0,78,75,0,20,33
2020-03-04,4,3,2020,60431283,3981,0.043,0.505,466,28,0,80,77,0,22,35
2020-03-05,5,3,2020,60431283,2525,0.068,0.547,587,27,0,82,79,0,24,37
2020-03-06,6,3,2020,60431283,3997,0.096,0.615,769,41,0,84,81,0,26,39
2020-03-07,7,3,2020,60431283,5703,0.133,0.711,778,49,0,86,83,0,28,41
2020-03-08,8,3,2020,60431283,7875,0.066,0.844,1247,36,1,88,85,0,30,43
2020-03-09,9,3,2020,60431283,3889,0.117,0.91,1492,133,2,90,87,0,32,45
2020-03-10,10,3,2020,60431283,6935,0.21,1.028,1797,98,3,92,89,0,34,47
2020-03-11,11,3,2020,60431283,12393,0.217,1.237,977,167,4,94,91,0,37,49
2020-03-12,12,3,2020,60431283,12857,0.194,1.455,2313,196,5,96,93,0,40,51
2020-03-13,13,3,2020,60431283,11477,0.198,1.649,2651,189,6,98,96,0,43,53
2020-03-14,14,3,2020,60431283,11682,0.266,1.846,2547,252,7,101,99,0,46,55
2020-03-15,15,3,2020,60431283,15729,0.221,2.112,3497,173,8,104,102,0,49,57
2020-03-16,16,3,2020,60431283,13063,0.181,2.333,2823,370,9,107,105,0,52,59
2020-03-17,17,3,2020,60431283,10695,0.286,2.514,4000,347,10,110,109,0,56,61
2020-03-18,18,3,2020,60431283,16884,0.291,2.8,3526,347,11,113,113,0,60,63
2020-03-19,19,3,2020,60431283,17236,0.408,3.091,4207,473,12,116,117,0,64,65
2020-03-20,20,3,2020,60431283,24109,0.445,3.499,5322,429,13,119,122,0,68,67
2020-03-21,21,3,2020,60431283,26336,0.426,3.944,5986,625,14,122,127,0,72,69
2020-03-22,22,3,2020,60431283,25180,0.289,4.37,6557,795,15,125,132,0,76,71
2020-03-23,23,3,2020,60431283,17066,0.364,4.659,5560,649,17,128,137,0,80,73
2020-03-24,24,3,2020,60431283,21496,0.465,5.022,4789,601,19,131,142,0,84,75
2020-03-25,25,3,2020,60431283,27481,0.619,5.487,5249,743,21,134,147,0,88,77
2020-03-26,26,3,2020,60431283,36615,0.558,6.106,5210,685,23,137,152,0,93,79
2020-03-27,27,3,2020,60431283,33019,0.599,6.664,6153,660,25,141,157,0,98,81
2020-03-28,28,3,2020,60431283,35447,0.414,7.264,5959,971,27,146,162,0,103,84
2020-03-29,29,3,2020,60431283,24504,0.395,7.678,5974,887,29,151,167,0,108,87
2020-03-30,30,3,2020,60431283,23329,0.501,8.073,5217,758,31,156,172,0,113,90
2020-03-31,31,3,2020,60431283,29609,0.583,8.573,4050,810,33,161,177,0,118,93
2020-04-01,1,4,2020,60431283,34455,0.673,9.156,4053,839,35,166,182,0,123,96
2020-04-02,2,4,2020,60431283,39809,0.653,9.829,4782,727,37,171,187,0,128,99
2020-04-03,3,4,2020,60431283,38617,0.632,10.482,4668,760,39,177,192,0,133,102
2020-04-04,4,4,2020,60431283,37375,0.579,11.115,4585,764,41,183,197,0,138,105
2020-04-05,5,4,2020,60431283,34237,0.512,11.694,4805,681,43,189,202,0,143,108
2020-04-06,6,4,2020,60431283,30271,0.57,12.205,4316,527,45,195,207,0,148,111
2020-04-07,7,4,2020,60431283,33713,0.874,12.776,3599,636,47,202,212,0,153,114
2020-04-08,8,4,2020,60431283,51680,0.782,13.65,3039,604,49,209,217,0,158,117
2020-04-09,9,4,2020,60431283,46244,0.905,14.432,3836,540,51,216,222,0,163,120
