date,location,new_cases,new_deaths,total_cases,total_deaths,govt_pol_index,tests_per_thous,Susceptible,Infected,Recovered,I_x,Stages
2/1/20,India,0,0,1,0,5.42,0,300000,2,1,0.273795018205419,1
2/2/20,India,1,0,2,0,5.42,0,299999.726204982,2.22740865467133,1.04638636355264,0.3049287024769,1
2/3/20,India,0,0,2,0,5.42,0,299999.421276279,2.48067627347602,1.09804744723157,0.339746676618233,1
2/4/20,India,1,0,3,0,5.42,0,299999.081529603,2.762862923164,1.1556074741636,0.378337698697578,1
2/5/20,India,0,0,3,0,5.42,0,299998.703191904,3.07710240764814,1.21970568838799,0.421135718817823,1
2/6/20,India,0,0,3,0,5.42,0,299998.282056185,3.42688896100809,1.29105485379299,0.46881785831647,1
2/7/20,India,0,0,3,0,5.42,0,299997.813238327,3.81627920383425,1.37048246930227,0.522061238938477,1
2/8/20,India,0,0,3,0,5.42,0,299997.291177088,4.24989214322783,1.45893076887499,0.58154298219597,1
2/9/20,India,0,0,3,0,5.42,0,299996.709634106,4.73290917280078,1.55745672150575,0.647940209601074,1
2/10/20,India,0,0,3,0,5.42,0,299996.061693896,5.27107407267586,1.66723203122461,0.721930042724125,1
2/11/20,India,0,0,3,0,5.42,0,299995.339763853,5.8706930094866,1.78954313709707,0.80418960301904,1
2/12/20,India,0,0,3,0,5.42,0,299994.53557425,6.5386345363773,1.9257912132241,0.895400365465321,1
2/13/20,India,0,0,3,0,5.42,0,299993.640173885,7.2823332077753,2.07749290728245,0.997798910480924,1
2/14/20,India,0,0,3,0,5.42,0,299992.642374974,8.11108089057217,2.24654413497854,1.11132237227866,1
2/15/20,India,0,0,3,0,5.42,0,299991.531052602,9.03411755712512,2.4348298406793,1.23642077256227,1
2/16/20,India,0,0,3,0,5.42,0,299990.29463183,10.0610571781268,2.6443109922642,1.37539350485895,1
2/17/20,India,0,0,3,0,5.42,0,299988.919238325,11.2034233368091,2.87733833844756,1.53053996246308,1
2/18/20,India,0,0,3,0,5.42,0,299987.388698362,12.4746492289428,3.13665240877863,1.70415953878546,1
2/19/20,India,0,0,3,0,5.42,0,299985.684538823,13.8900776628379,3.42538351364153,1.89855162712047,1
2/20/20,India,0,0,3,0,5.42,0,299983.785987196,15.4669610593435,3.74705174425529,2.1160156208789,1
2/21/20,India,0,0,3,0,5.42,0,299981.669971576,17.2244614518479,4.10556697267383,2.35885091358796,1
2/22/20,India,0,0,3,0,5.42,0,299979.311120662,19.1836504862782,4.50522885178596,2.6293568983092,1
2/23/20,India,0,0,3,0,5.42,0,299976.681763764,21.367509421101,4.95072681531539,2.92983296874445,1
2/24/20,India,0,0,3,0,5.42,0,299973.751930795,23.8009291273217,5.44714007782073,3.26257851801347,1
2/25/20,India,0,0,3,0,5.42,0,299970.489352277,26.510710088485,5.99993763469545,3.63072233390994,1
2/26/20,India,0,0,3,0,5.42,0,299966.858629943,29.5262505680477,6.61511948904954,4.04701766889775,1
2/27/20,India,0,0,3,0,5.42,0,299962.811612274,32.8875336815696,7.3008540444273,4.50555400026497,1
2/28/20,India,0,0,3,0,5.42,0,299958.306058274,36.6296445380974,8.06429718818065,5.01085765013704,1
2/29/20,India,0,0,3,0,5.42,0,299953.295200624,40.7914284460576,8.91337093032966,5.57240059931064,1
3/1/20,India,0,0,3,0,5.42,0,299947.722800024,45.4195941366804,9.85760583900643,6.19965482875705,1
3/2/20,India,0,0,3,0,5.42,0,299941.523145196,50.5687137639999,10.9081410404551,6.90209231944755,1
3/3/20,India,2,0,5,0,16.54,0,299934.621052876,56.3012229048539,12.0777242190319,7.6891850521788,1
3/4/20,India,1,0,6,0,21.83,0,299926.931867824,62.6874205588837,13.380711617205,8.5704050079803,1
3/5/20,India,22,0,28,0,28.97,0,299918.361462816,69.8054691485348,14.8330680355547,9.55522416776512,1
3/6/20,India,1,0,29,0,28.97,0,299908.806238648,77.741394519056,16.4523668327734,10.6531145123299,1
3/7/20,India,2,0,31,0,28.97,0,299898.153124136,86.5890859385003,18.2577899256655,11.8735480227042,1
3/8/20,India,3,0,34,0,28.97,0,299886.279576113,96.4502960977241,20.2701277891474,13.225996679801,1
3/9/20,India,10,0,44,0,28.97,0,299873.053579433,107.434641110388,22.5117794562476,14.7199324644171,1
3/10/20,India,6,0,50,0,28.97,0,299858.333646969,119.659600512955,25.0067525181066,16.3837422711658,1
3/11/20,India,23,0,73,0,28.97,0,299841.949904698,133.266159541013,27.7839357612474,18.2587583204149,1
3/12/20,India,2,1,75,1,28.97,0,299823.691146377,148.429572513968,30.8792811087065,20.3136470037862,1
3/13/20,India,8,1,83,2,31.75,0,299803.377499374,165.299299718226,34.3232009082367,22.5850694136461,1
3/14/20,India,7,0,90,2,31.75,0,299780.79242996,184.055194667584,38.1523753725047,25.1140218194923,1
3/15/20,India,3,0,93,2,31.75,0,299755.67840814,204.911087595531,42.4105042640512,27.9415004909388,1
3/16/20,India,32,1,125,3,44.71,0,299727.736907649,228.11478545525,47.1483068952912,31.1085016975994,1
3/17/20,India,12,0,137,3,44.71,0,299696.628405952,253.948071919617,52.4235221285138,34.6560217089136,1
3/18/20,India,28,0,165,3,53.3,0,299661.972384243,282.726707381202,58.3009083758823,38.6250567946699,1
3/19/20,India,26,1,191,4,53.3,0,299623.347327448,314.800428952271,64.8522435994341,43.0566032241331,1
3/20/20,India,40,0,231,4,61.24,0.001,299580.290724224,350.55295046478,72.1563253110809,47.99165726715,1
3/21/20,India,89,0,320,4,61.24,0.001,299532.299066957,390.401962470382,80.2989705726083,53.4712151931017,1
