,Dates,Xt,Rt
0,2020-03-04,2.3319847859671374,3.9472077989418755
1,2020-03-05,25.881935442759325,5.0479180952922675
2,2020-03-06,29.40923796559607,3.640226588613228
3,2020-03-07,22.916214439566563,11.138749947235885
4,2020-03-08,31.552933445020816,5.789591015393788
5,2020-03-09,37.088467588820336,5.813775985144481
6,2020-03-10,43.4003293614647,9.437717755939708
7,2020-03-11,58.88178427753478,10.311696539855742
8,2020-03-12,72.3486185389185,5.892206748496221
9,2020-03-13,78.67167134055279,9.54944855768503
10,2020-03-14,80.20135456848848,17.954855225384165
11,2020-03-15,88.50110829310923,20.209848495208192
12,2020-03-16,100.42300600058871,19.49013490396504
13,2020-03-17,112.68531736069978,22.376428507189523
14,2020-03-18,116.8585757558098,38.667809424362055
15,2020-03-19,153.61222700258966,29.33116877277407
16,2020-03-20,175.07966213232865,35.90750228600926
17,2020-03-21,208.54473152644445,65.40770292859594
18,2020-03-22,300.9344079577243,58.25957257987275
19,2020-03-23,378.8704788305044,53.289847522457315
20,2020-03-24,443.62114529786055,88.80563011780427
21,2020-03-25,499.8119562456008,109.34719293774212
22,2020-03-26,604.1892406816577,96.84365867784396
23,2020-03-27,655.3949863904289,119.8705559554546
24,2020-03-28,764.7364052443212,170.96120751229785
25,2020-03-29,877.9937433499325,198.37664368989786
26,2020-03-30,998.2466222010053,203.91460176353152
27,2020-03-31,1113.595352889731,273.1009108181531
28,2020-04-01,1340.0582094936965,373.3265512839039
29,2020-04-02,1788.9722955858817,376.9100142866847
30,2020-04-03,2225.3698857272184,450.85134991074824
31,2020-04-04,2593.081261705332,670.6472275317384
32,2020-04-05,3141.7500148345994,726.664698540297
33,2020-04-06,3740.0701897993677,759.915076489865
34,2020-04-07,4005.121965338743,996.1364804777666
35,2020-04-08,4443.101281230989,1138.8529280959356
36,2020-04-09,4972.247333500432,1188.066269783285
37,2020-04-10,5590.910057844109,1391.97232827053
38,2020-04-11,6163.260799125576,1720.589494592271
39,2020-04-12,6767.325240219336,1973.9638921577668
40,2020-04-13,7431.983610726992,2072.5731750340055
41,2020-04-14,8368.027047080335,2440.5300985189488
42,2020-04-15,8991.901135992044,2869.1419605292404
43,2020-04-16,9836.170819641864,2932.165292458869
44,2020-04-17,10555.257909239383,3305.517784237738
45,2020-04-18,10876.971717993103,3910.2672452999514
46,2020-04-19,11830.692741683819,4354.111766144863
47,2020-04-20,13037.636391497641,4771.362357226532
48,2020-04-21,13534.714771700561,5534.453687450405
49,2020-04-22,14211.87105389853,6390.005603737443
50,2020-04-23,15172.888107473977,6740.240486286743
51,2020-04-24,16008.560489950047,7601.195654341057
52,2020-04-25,16633.169916480532,8384.444490547005
53,2020-04-26,17902.692147216847,8994.827394784761
54,2020-04-27,18895.397035084214,9614.56963658012
55,2020-04-28,19569.22826826541,10511.93108157207
56,2020-04-29,20500.599835026143,11490.791593427883
57,2020-04-30,21536.449976722186,12145.764339833753
58,2020-05-01,22490.817361117526,12987.281981735461
59,2020-05-02,23433.733446283,14449.986790058694
60,2020-05-03,25005.21630191173,15452.73850073292
61,2020-05-04,26842.109665304102,16549.602706774487
62,2020-05-05,28796.64674759312,18312.52015672763
63,2020-05-06,30095.42192460381,19953.128242021736
64,2020-05-07,32366.035796709293,21341.793998559053
65,2020-05-08,33833.35317954892,23223.529598487137
66,2020-05-09,35489.98050401123,24943.11625469087
67,2020-05-10,36984.802800338985,26605.600888610126
68,2020-05-11,39316.024396308414,28630.142381244914
69,2020-05-12,40779.29683550998,30794.844578458687
70,2020-05-13,49105.0,26400.0
71,2020-05-14,51233.65133671371,28388.20201697067
72,2020-05-15,53886.77585255599,30376.04585518325
73,2020-05-16,56500.52504349043,32716.394615651003
74,2020-05-17,58895.813082741486,35246.51361257623
75,2020-05-18,61784.31153112615,37830.76302701265
76,2020-05-19,64334.488766405186,40625.241282381525
77,2020-05-20,66737.64453951214,43454.003385142714
78,2020-05-21,69399.5020407526,46366.10812491796
79,2020-05-22,72170.62867412307,49657.009642644785
80,2020-05-23,74611.56361730662,52901.14963052242
81,2020-05-24,76760.50688357647,56382.725253223485
82,2020-05-25,79191.8034434025,60009.18201291671
83,2020-05-26,81926.79315166888,63653.70281075071
84,2020-05-27,84479.11693614649,67628.07295491466
85,2020-05-28,87091.62645474132,71806.9672252979
86,2020-05-29,89981.73984781727,76076.12317219454
87,2020-05-30,92557.13478450391,80596.39602339343
