,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-03-10,Australia,20,0,100,3,200,0.0,10.0,33.0,0.0,0.0,10.0,10,3,2020,1,3.922,0.784,0.118,0.0,0.0010484112434753345,1,1,1,1
1,2020-03-11,Australia,12,0,112,3,120,0.0,11.0,35.0,0.0,0.0,11.0,11,3,2020,2,4.392,0.471,0.118,0.0,0.0010379443133690693,1,1,2,2
2,2020-03-13,Australia,30,0,156,3,300,0.0,15.0,39.0,0.0,1.0,13.0,13,3,2020,4,6.1179999999999986,1.176,0.118,0.0,0.0014579231158020536,1,1,4,3
3,2020-03-14,Australia,41,0,197,3,410,0.0,17.0,41.0,0.0,2.0,14.0,14,3,2020,5,7.726,1.608,0.118,0.0,0.0020063456829137786,1,1,5,4
4,2020-03-15,Australia,52,0,249,3,520,0.0,19.0,43.0,0.0,3.0,15.0,15,3,2020,6,9.765,2.039,0.118,0.0,0.0016255356878971494,1,1,6,5
5,2020-03-17,Australia,77,0,375,5,1540,0.0,24.0,47.0,0.0,5.0,17.0,17,3,2020,8,14.706,3.02,0.196,0.0,0.0022717802192207697,2,3,1,6
6,2020-03-18,Australia,79,0,454,5,1580,0.0,27.0,49.0,0.0,6.0,18.0,18,3,2020,9,17.804000000000006,3.0980000000000003,0.196,0.0,0.002478645510154008,2,3,2,7
7,2020-03-19,Australia,111,1,565,6,2220,0.0,30.0,51.0,0.0,7.0,19.0,19,3,2020,10,22.157,4.353,0.235,0.039,0.0028193858472497267,2,3,3,8
8,2020-03-20,Australia,144,0,709,6,2880,0.0,33.0,53.0,0.0,9.0,21.0,20,3,2020,11,27.804,5.647,0.235,0.0,0.004802908530515151,2,3,4,9
9,2020-03-21,Australia,165,1,874,7,3300,0.0,36.0,55.0,0.0,11.0,23.0,21,3,2020,12,34.275,6.471,0.275,0.039,0.004022656299339794,2,3,5,10
10,2020-03-22,Australia,224,0,1098,7,4480,0.0,40.0,57.0,0.0,15.0,26.0,22,3,2020,13,43.059,8.783999999999999,0.275,0.0,0.006129289375226101,3,0,6,11
11,2020-03-23,Australia,611,0,1709,7,12220,0.0,44.0,59.0,0.0,19.0,29.0,23,3,2020,14,67.02,23.961,0.275,0.0,0.0358015566855725,4,2,0,12
12,2020-03-24,Australia,114,0,1823,7,2280,0.0,48.0,61.0,0.0,23.0,32.0,24,3,2020,15,71.491,4.471,0.275,0.0,0.03857669968652387,2,3,1,13
13,2020-03-25,Australia,600,1,2423,8,12000,0.0,54.0,63.0,0.0,27.0,36.0,25,3,2020,16,95.02,23.53,0.314,0.039,0.04194191709026175,4,2,2,14
14,2020-03-26,Australia,376,3,2799,11,7520,0.0,60.0,65.0,0.0,31.0,40.0,26,3,2020,17,109.765,14.745,0.431,0.118,0.03594613173292304,3,0,3,15
15,2020-03-27,Australia,367,2,3166,13,7340,0.0,66.0,67.0,0.0,35.0,44.0,27,3,2020,18,124.157,14.392,0.51,0.078,0.01950661483969616,3,0,4,16
16,2020-03-28,Australia,212,0,3378,13,4240,0.0,72.0,69.0,0.0,39.0,49.0,28,3,2020,19,132.471,8.314,0.51,0.0,0.013624538541306526,3,0,5,17
17,2020-03-29,Australia,431,1,3809,14,8620,1.0,78.0,71.0,0.0,43.0,54.0,29,3,2020,20,149.373,16.902,0.5489999999999999,0.039,0.016640606792633312,4,2,6,18
18,2020-03-30,Australia,284,2,4093,16,5680,2.0,84.0,73.0,0.0,47.0,59.0,30,3,2020,21,160.511,11.137,0.627,0.078,0.016494737801173012,3,0,0,19
19,2020-03-31,Australia,464,3,4557,19,9280,3.0,90.0,75.0,0.0,51.0,64.0,31,3,2020,22,178.707,18.196,0.745,0.118,0.014161071503540856,4,2,1,20
20,2020-04-01,Australia,150,1,4707,20,3000,4.0,96.0,77.0,0.0,55.0,69.0,1,4,2020,23,184.58900000000003,5.8820000000000014,0.784,0.039,0.02328366637560165,2,3,2,21
21,2020-04-02,Australia,269,1,4976,21,5380,5.0,102.0,79.0,0.0,59.0,74.0,2,4,2020,24,195.138,10.549,0.8240000000000001,0.039,0.023426259409397108,3,0,3,22
22,2020-04-03,Australia,248,2,5224,23,4960,6.0,108.0,81.0,0.0,63.0,79.0,3,4,2020,25,204.864,9.726,0.902,0.078,0.009386198031792824,3,0,4,23
23,2020-04-04,Australia,324,7,5548,30,6480,7.0,114.0,83.0,0.0,67.0,84.0,4,4,2020,26,217.57,12.706,1.176,0.275,0.00579977546487825,3,0,5,24
24,2020-04-05,Australia,139,4,5687,34,2780,8.0,120.0,85.0,0.0,71.0,89.0,5,4,2020,27,223.021,5.4510000000000005,1.3330000000000002,0.157,0.013741576280499691,2,3,6,25
25,2020-04-06,Australia,57,2,5744,36,5509,9.0,126.0,87.0,0.0,75.0,94.0,6,4,2020,28,225.256,2.235,1.412,0.078,0.020211481943475315,1,1,0,26
26,2020-04-07,Australia,100,6,5844,42,8037,10.0,132.0,89.0,0.0,79.0,99.0,7,4,2020,29,229.178,3.922,1.6469999999999998,0.235,0.006061217221749065,2,3,1,27
27,2020-04-08,Australia,112,3,5956,45,8668,11.0,138.0,91.0,0.0,83.0,104.0,8,4,2020,30,233.57,4.392,1.765,0.118,0.004273596616273813,2,3,2,28
28,2020-04-09,Australia,96,5,6052,50,10766,12.0,144.0,93.0,0.0,87.0,109.0,9,4,2020,31,237.334,3.765,1.961,0.196,0.0012304808626958995,2,3,3,29
29,2020-04-10,Australia,100,2,6152,52,8212,13.0,150.0,95.0,0.0,91.0,114.0,10,4,2020,32,241.256,3.922,2.039,0.078,0.0012304808626958995,2,3,4,30
30,2020-04-11,Australia,86,2,6238,54,9501,14.0,156.0,97.0,0.0,95.0,119.0,11,4,2020,33,244.629,3.373,2.1180000000000003,0.078,0.0010656276859651811,2,3,5,31
31,2020-04-12,Australia,51,3,6289,57,6094,15.0,162.0,100.0,0.0,99.0,124.0,12,4,2020,34,246.629,2.0,2.235,0.118,0.003729696900878891,1,1,6,32
32,2020-04-13,Australia,33,4,6322,61,8195,16.0,168.0,104.0,0.0,103.0,129.0,13,4,2020,35,247.923,1.294,2.392,0.157,0.003982646969252117,1,1,0,33
33,2020-04-14,Australia,44,0,6366,61,4357,17.0,174.0,108.0,0.0,107.0,134.0,14,4,2020,36,249.648,1.725,2.392,0.0,0.001340885433113052,1,1,1,34
34,2020-04-15,Australia,50,0,6416,61,4884,18.0,180.0,112.0,0.0,111.0,139.0,15,4,2020,37,251.609,1.961,2.392,0.0,0.001274076858910919,1,1,2,35
35,2020-04-19,Australia,53,2,6586,69,14486,22.0,204.0,128.0,0.0,127.0,159.0,19,4,2020,41,258.276,2.0780000000000003,2.7060000000000004,0.078,0.00134088543311305,1,1,6,36
36,2020-04-20,Australia,26,1,6612,70,10738,23.0,210.0,132.0,0.0,131.0,164.0,20,4,2020,42,259.295,1.02,2.745,0.039,0.0020172006531148025,1,1,0,37
37,2020-04-21,Australia,13,1,6625,71,8108,24.0,216.0,136.0,0.0,135.0,169.0,21,4,2020,43,259.805,0.51,2.784,0.039,0.0030152575622486365,1,1,1,38
38,2020-04-23,Australia,7,0,6654,74,14218,26.0,228.0,144.0,0.0,143.0,179.0,23,4,2020,45,260.942,0.275,2.902,0.0,0.0011156841192949477,1,1,3,39
