,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-01-19,China,136,1,216,3,136,0.0,0.0,0.0,0.0,0.0,0.0,19,1,2020,1,0.15,0.094,0.002,0.001,0.001057113327244517,1,0,6,1
1,2020-01-21,China,151,3,386,6,151,0.0,0.0,2.0,0.0,0.0,0.0,21,1,2020,3,0.268,0.105,0.004,0.002,0.001050166030117391,1,0,1,2
2,2020-01-22,China,140,11,526,17,140,0.0,1.0,3.0,0.0,0.0,0.0,22,1,2020,4,0.365,0.097,0.012,0.008,0.0010642798294526624,1,0,2,3
3,2020-01-24,China,259,9,882,26,1295,1.0,3.0,5.0,0.0,0.0,0.0,24,1,2020,6,0.613,0.18,0.018000000000000002,0.006,0.0012194282217504807,1,0,4,4
4,2020-01-25,China,441,15,1323,41,2205,2.0,4.0,6.0,0.0,0.0,0.0,25,1,2020,7,0.919,0.306,0.028,0.01,0.0025007537554888443,1,0,5,5
5,2020-01-26,China,665,15,1988,56,3325,3.0,5.0,7.0,0.0,0.0,0.0,26,1,2020,8,1.381,0.462,0.039,0.01,0.002955066213035475,1,0,6,6
6,2020-01-27,China,787,25,2775,81,3935,4.0,6.0,8.0,0.0,0.0,1.0,27,1,2020,9,1.928,0.547,0.056,0.017,0.0025500289360366546,1,0,0,7
7,2020-01-28,China,1753,25,4528,106,8765,5.0,7.0,9.0,0.0,0.0,2.0,28,1,2020,10,3.1460000000000004,1.218,0.07400000000000001,0.017,0.008661516300340809,2,2,1,8
8,2020-01-29,China,1466,26,5994,132,7330,6.0,8.0,10.0,0.0,1.0,3.0,29,1,2020,11,4.164,1.019,0.092,0.018000000000000002,0.007208564020590514,2,2,2,9
9,2020-01-30,China,1740,38,7734,170,8700,7.0,9.0,11.0,0.0,2.0,4.0,30,1,2020,12,5.372999999999998,1.209,0.118,0.026,0.0023551562400364393,2,2,3,10
10,2020-01-31,China,1980,43,9714,213,9900,8.0,10.0,12.0,0.0,3.0,5.0,31,1,2020,13,6.749,1.376,0.14800000000000002,0.03,0.003737210477607488,2,2,4,11
11,2020-02-01,China,2095,46,11809,259,10475,9.0,11.0,13.0,0.0,4.0,6.0,1,2,2020,14,8.205,1.456,0.18,0.032,0.0026320251659387862,2,2,5,12
12,2020-02-02,China,2590,45,14399,304,12950,10.0,12.0,14.0,0.0,5.0,7.0,2,2,2020,15,10.004,1.7990000000000002,0.211,0.031,0.004709916485656572,3,3,6,13
13,2020-02-03,China,2812,57,17211,361,14060,11.0,14.0,15.0,0.0,6.0,8.0,3,2,2020,16,11.958,1.954,0.251,0.04,0.005333778090167692,3,3,0,14
14,2020-02-04,China,3237,65,20448,426,16185,12.0,16.0,16.0,0.0,7.0,9.0,4,2,2020,17,14.207,2.249,0.29600000000000004,0.045,0.0047773091378296075,3,3,1,15
15,2020-02-05,China,3872,66,24320,492,19360,13.0,18.0,17.0,0.0,8.0,10.0,5,2,2020,18,16.897000000000002,2.69,0.342,0.046,0.007751688731515658,4,1,2,16
16,2020-02-06,China,3727,72,28047,564,18635,14.0,20.0,18.0,0.0,9.0,11.0,6,2,2020,19,19.486,2.589,0.392,0.05,0.0048352707524121005,4,1,3,17
17,2020-02-07,China,3160,73,31207,637,15800,15.0,22.0,19.0,0.0,10.0,12.0,7,2,2020,20,21.682,2.195,0.443,0.051,0.0054675565462801315,3,3,4,18
18,2020-02-08,China,3418,86,34625,723,17090,16.0,24.0,20.0,0.0,11.0,13.0,8,2,2020,21,24.056,2.375,0.502,0.06,0.004125112873765722,4,1,5,19
19,2020-02-09,China,2607,89,37232,812,13035,17.0,26.0,21.0,0.0,12.0,14.0,9,2,2020,22,25.868,1.811,0.564,0.062,0.006020890884602203,3,3,6,20
20,2020-02-10,China,2974,97,40206,909,14870,18.0,28.0,22.0,0.0,13.0,15.0,10,2,2020,23,27.934,2.066,0.632,0.067,0.005901199836134313,3,3,0,21
21,2020-02-11,China,2490,108,42696,1017,12450,19.0,30.0,23.0,0.0,14.0,16.0,11,2,2020,24,29.664,1.73,0.7070000000000001,0.075,0.003669560960454311,3,3,1,22
22,2020-02-12,China,2028,97,44724,1114,10140,20.0,32.0,24.0,0.0,15.0,17.0,12,2,2020,25,31.073,1.409,0.774,0.067,0.006873821292939714,2,2,2,23
23,2020-02-14,China,4156,13,64021,1381,20780,22.0,36.0,26.0,0.0,17.0,19.0,14,2,2020,27,44.48,2.887,0.959,0.009000000000000001,0.016265060967270744,4,1,4,24
24,2020-02-15,China,2538,143,66559,1524,12690,23.0,38.0,27.0,0.0,18.0,20.0,15,2,2020,28,46.243,1.763,1.0590000000000002,0.099,0.01614455742723029,3,3,5,25
25,2020-02-16,China,2007,142,68566,1666,10035,24.0,40.0,28.0,0.0,19.0,21.0,16,2,2020,29,47.63800000000001,1.394,1.157,0.099,0.016265820394103698,2,2,6,26
26,2020-02-17,China,2052,105,70618,1771,10260,25.0,42.0,29.0,0.0,20.0,22.0,17,2,2020,30,49.063,1.426,1.23,0.073,0.004278583262744629,2,2,0,27
27,2020-02-18,China,1890,98,72508,1869,9450,26.0,44.0,30.0,0.0,21.0,23.0,18,2,2020,31,50.37600000000001,1.3130000000000002,1.2990000000000002,0.068,0.0012151495130431186,2,2,1,28
28,2020-02-19,China,1750,139,74258,2008,8750,27.0,46.0,31.0,0.0,22.0,24.0,19,2,2020,32,51.592,1.216,1.395,0.097,0.0021961332075063106,2,2,2,29
29,2020-02-20,China,394,112,74652,2120,1970,28.0,48.0,32.0,0.0,23.0,25.0,20,2,2020,33,51.86600000000001,0.274,1.473,0.078,0.012006625429038091,1,0,3,30
30,2020-02-21,China,891,118,75543,2238,4455,29.0,50.0,33.0,0.0,24.0,26.0,21,2,2020,34,52.485,0.619,1.555,0.08199999999999999,0.0099684105006136,1,0,4,31
31,2020-02-22,China,826,109,76369,2347,4130,30.0,52.0,34.0,0.0,25.0,27.0,22,2,2020,35,53.059,0.574,1.631,0.076,0.003925445683399424,1,0,5,32
32,2020-02-23,China,647,98,77016,2445,3235,31.0,54.0,35.0,0.0,26.0,28.0,23,2,2020,36,53.508,0.45,1.699,0.068,0.0018361561673347427,1,0,6,33
33,2020-02-24,China,218,150,77234,2595,1090,32.0,56.0,36.0,0.0,27.0,29.0,24,2,2020,37,53.66,0.151,1.803,0.104,0.004540221005553291,1,0,0,34
34,2020-02-25,China,515,70,77749,2665,2575,33.0,58.0,37.0,0.0,28.0,30.0,25,2,2020,38,54.018,0.358,1.852,0.049,0.0031928394883580344,1,0,1,35
35,2020-02-26,China,410,52,78159,2717,2050,34.0,60.0,38.0,0.0,29.0,31.0,26,2,2020,39,54.303,0.285,1.888,0.036000000000000004,0.002188508307204488,1,0,2,36
36,2020-03-01,China,574,35,79929,2872,2870,38.0,68.0,42.0,0.0,33.0,35.0,1,3,2020,43,55.532,0.399,1.995,0.024,0.0017909423452335395,1,0,6,37
37,2020-03-02,China,205,42,80134,2914,1025,39.0,70.0,43.0,0.0,34.0,36.0,2,3,2020,44,55.675,0.142,2.025,0.029,0.002700371348398525,1,0,0,38
