,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-03-04,Iceland,10,0,16,0,81,0.0,16.0,0.0,0.0,0.0,0.0,4,3,2020,1,46.886,29.304,0.0,0.0,0.002424304195517616,2,1,2,1
1,2020-03-05,Iceland,10,0,26,0,62,0.0,18.0,0.0,0.0,0.0,0.0,5,3,2020,2,76.19,29.304,0.0,0.0,0.002247748545232136,2,1,3,2
2,2020-03-09,Iceland,2,0,55,0,98,0.0,26.0,4.0,0.0,0.0,0.0,9,3,2020,6,161.172,5.8610000000000015,0.0,0.0,0.0023155350383383014,1,3,0,3
3,2020-03-10,Iceland,10,0,65,0,169,0.0,28.0,6.0,0.0,0.0,0.0,10,3,2020,7,190.476,29.304,0.0,0.0,0.0025688554802652977,2,1,1,4
4,2020-03-11,Iceland,5,0,70,0,149,0.0,30.0,8.0,0.0,0.0,0.0,11,3,2020,8,205.128,14.652,0.0,0.0,0.002247748545232136,1,3,2,5
5,2020-03-12,Iceland,15,0,85,0,253,0.0,32.0,10.0,0.0,0.0,0.0,12,3,2020,9,249.084,43.956,0.0,0.0,0.0027808676307007783,2,1,3,6
6,2020-03-13,Iceland,32,0,117,0,357,0.0,35.0,12.0,0.0,1.0,0.0,13,3,2020,10,342.857,93.773,0.0,0.0,0.007591989332385342,3,0,4,7
7,2020-03-14,Iceland,0,0,117,0,323,0.0,38.0,14.0,0.0,2.0,0.0,14,3,2020,11,342.857,0.0,0.0,0.0,0.008904568007803357,1,3,5,8
8,2020-03-15,Iceland,21,0,138,0,1075,0.0,41.0,16.0,0.0,3.0,0.0,15,3,2020,12,404.396,61.538,0.0,0.0,0.009042453391366109,2,1,6,9
9,2020-03-16,Iceland,40,0,178,0,1707,0.0,45.0,18.0,0.0,5.0,0.0,16,3,2020,13,521.612,117.216,0.0,0.0,0.011128104337010692,3,0,0,10
10,2020-03-17,Iceland,21,0,199,0,1400,0.0,49.0,20.0,0.0,7.0,0.0,17,3,2020,14,583.15,61.538,0.0,0.0,0.006101031765630081,2,1,1,11
11,2020-03-18,Iceland,48,0,247,0,1828,0.0,53.0,22.0,0.0,9.0,0.0,18,3,2020,15,723.81,140.659,0.0,0.0,0.00771325326759908,3,0,2,12
12,2020-03-19,Iceland,3,0,250,0,1311,0.0,57.0,24.0,0.0,11.0,0.0,19,3,2020,16,732.6010000000001,8.791,0.0,0.0,0.012597054118916713,1,3,3,13
13,2020-03-20,Iceland,80,1,330,1,579,0.0,61.0,26.0,0.0,13.0,1.0,20,3,2020,17,967.033,234.432,2.93,2.93,0.021514164647221872,4,2,4,14
14,2020-03-21,Iceland,79,0,409,1,350,0.0,65.0,28.0,0.0,15.0,2.0,21,3,2020,18,1198.535,231.502,2.93,0.0,0.02456625453321221,4,2,5,15
15,2020-03-22,Iceland,64,0,473,1,183,0.0,69.0,30.0,0.0,17.0,3.0,22,3,2020,19,1386.081,187.546,2.93,0.0,0.004984920155635406,4,2,6,16
16,2020-03-23,Iceland,95,0,568,1,459,0.0,74.0,32.0,0.0,19.0,4.0,23,3,2020,20,1664.469,278.388,2.93,0.0,0.008622184615671828,4,2,0,17
17,2020-03-24,Iceland,20,1,588,2,967,0.0,79.0,34.0,0.0,22.0,5.0,24,3,2020,21,1723.0770000000002,58.608,5.8610000000000015,2.93,0.020960684080872784,2,1,1,18
18,2020-03-25,Iceland,60,0,648,2,888,0.0,84.0,36.0,0.0,25.0,6.0,25,3,2020,22,1898.901,175.824,5.8610000000000015,0.0,0.020871950777155538,4,2,2,19
19,2020-03-26,Iceland,89,0,737,2,998,0.0,89.0,38.0,0.0,28.0,7.0,26,3,2020,23,2159.707000000001,260.806,5.8610000000000015,0.0,0.01926909180731504,4,2,3,20
20,2020-03-27,Iceland,65,0,802,2,1022,0.0,94.0,40.0,0.0,31.0,8.0,27,3,2020,24,2350.183,190.476,5.8610000000000015,0.0,0.008622184615671822,4,2,4,21
21,2020-03-28,Iceland,88,0,890,2,849,0.0,99.0,42.0,0.0,34.0,9.0,28,3,2020,25,2608.059,257.875,5.8610000000000015,0.0,0.007551135281578129,4,2,5,22
22,2020-03-29,Iceland,73,0,963,2,1000,0.0,104.0,44.0,0.0,37.0,10.0,29,3,2020,26,2821.978,213.919,5.8610000000000015,0.0,0.006493985868793814,4,2,6,23
23,2020-03-30,Iceland,57,0,1020,2,1420,0.0,109.0,46.0,0.0,40.0,11.0,30,3,2020,27,2989.011,167.033,5.8610000000000015,0.0,0.008622184615671826,4,2,0,24
24,2020-03-31,Iceland,66,0,1086,2,1612,0.0,114.0,48.0,0.0,43.0,12.0,31,3,2020,28,3182.418,193.407,5.8610000000000015,0.0,0.0044609601095720606,4,2,1,25
25,2020-04-01,Iceland,49,0,1135,2,1414,0.0,119.0,50.0,0.0,46.0,14.0,1,4,2020,29,3326.007,143.59,5.8610000000000015,0.0,0.004730200527316639,3,0,2,26
