,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-03-23,India,119,3,439,7,191.0,8.0,160.0,19.0,0.0,18.0,71.0,23,3,2020,1,0.318,0.086,0.005,0.002,0.00106811076721039,1,0,0,1
1,2020-03-28,India,149,2,873,19,157.0,18.0,185.0,29.0,0.0,23.0,96.0,28,3,2020,6,0.633,0.108,0.014,0.001,0.0010637362337409092,1,0,5,2
2,2020-03-31,India,180,3,1251,32,5643.0,24.0,200.0,35.0,0.0,26.0,111.0,31,3,2020,9,0.907,0.13,0.023,0.002,0.0012665085084140654,1,0,1,3
3,2020-04-01,India,146,3,1397,35,6324.5,26.0,205.0,37.0,0.0,27.0,116.0,1,4,2020,10,1.012,0.106,0.025,0.002,0.001188589332236456,1,0,2,4
4,2020-04-02,India,568,15,1965,50,7006.0,28.0,210.0,39.0,0.0,28.0,121.0,2,4,2020,11,1.4240000000000002,0.412,0.036000000000000004,0.011,0.006279302099038757,2,2,3,5
5,2020-04-03,India,336,6,2301,56,21294.0,30.0,215.0,41.0,0.0,29.0,126.0,3,4,2020,12,1.6669999999999998,0.243,0.041,0.004,0.005660704257729293,1,0,4,6
6,2020-04-04,India,601,12,2902,68,10705.0,32.0,221.0,43.0,0.0,30.0,131.0,4,4,2020,13,2.103,0.436,0.049,0.009000000000000001,0.003868042094936998,2,2,5,7
7,2020-04-05,India,472,9,3374,77,9584.0,34.0,227.0,45.0,0.0,31.0,136.0,5,4,2020,14,2.445,0.342,0.056,0.006999999999999999,0.0035492663356858946,2,2,6,8
8,2020-04-06,India,693,32,4067,109,11534.0,36.0,233.0,47.0,0.0,32.0,141.0,6,4,2020,15,2.947,0.502,0.079,0.023,0.0029734040604137797,2,2,0,9
9,2020-04-07,India,354,5,4421,114,12947.0,38.0,239.0,49.0,0.0,33.0,146.0,7,4,2020,16,3.204,0.257,0.083,0.004,0.004609174943840079,1,0,1,10
10,2020-04-08,India,773,35,5194,149,13904.0,40.0,245.0,51.0,0.0,34.0,151.0,8,4,2020,17,3.764,0.56,0.108,0.025,0.005957835672687656,2,2,2,11
11,2020-04-09,India,540,17,5734,166,16991.0,42.0,251.0,53.0,0.0,35.0,156.0,9,4,2020,18,4.155,0.391,0.12,0.012,0.005622961216907864,2,2,3,12
12,2020-04-10,India,678,33,6412,199,16420.0,44.0,257.0,55.0,0.0,36.0,161.0,10,4,2020,19,4.646,0.491,0.14400000000000002,0.024,0.0031379750248660826,2,2,4,13
13,2020-04-11,India,1035,40,7447,239,18044.0,46.0,263.0,57.0,0.0,37.0,166.0,11,4,2020,20,5.396,0.75,0.173,0.029,0.006841832751864051,3,3,5,14
14,2020-04-12,India,909,34,8356,273,16374.0,48.0,269.0,59.0,0.0,38.0,171.0,12,4,2020,21,6.055,0.659,0.198,0.025,0.004849347551673615,2,2,6,15
15,2020-04-13,India,796,35,9152,308,21806.0,50.0,275.0,61.0,0.0,39.0,176.0,13,4,2020,22,6.6320000000000014,0.5770000000000001,0.223,0.025,0.003202242113768797,2,2,0,16
16,2020-04-14,India,1211,31,10363,339,27339.0,52.0,281.0,63.0,0.0,40.0,181.0,14,4,2020,23,7.508999999999999,0.878,0.246,0.022,0.0057465455257492935,3,3,1,17
17,2020-04-15,India,1075,38,11438,377,29706.0,54.0,287.0,65.0,0.0,41.0,186.0,15,4,2020,24,8.288,0.779,0.273,0.028,0.00566655186527776,3,3,2,18
18,2020-04-16,India,942,37,12380,414,28357.0,56.0,294.0,67.0,0.0,42.0,191.0,16,4,2020,25,8.971,0.6829999999999999,0.3,0.027000000000000003,0.003602495930876169,2,2,3,19
