,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Weekday,Year,days_completed
0,2020-02-21,Iran,3,0,5,2,6,22.0,72.0,0.0,0.0,0.0,22.0,21,2,4,2020,1
1,2020-02-22,Iran,13,2,18,4,26,23.0,75.0,0.0,0.0,0.0,23.0,22,2,5,2020,2
2,2020-02-23,Iran,10,1,28,5,20,24.0,78.0,0.0,0.0,0.0,24.0,23,2,6,2020,3
3,2020-02-24,Iran,15,3,43,8,30,25.0,81.0,0.0,0.0,0.0,25.0,24,2,0,2020,4
4,2020-02-25,Iran,18,4,61,12,36,26.0,84.0,0.0,0.0,0.0,26.0,25,2,1,2020,5
5,2020-02-26,Iran,34,3,95,15,68,27.0,87.0,0.0,0.0,0.0,27.0,26,2,2,2020,6
6,2020-02-27,Iran,44,4,139,19,88,28.0,90.0,0.0,0.0,1.0,29.0,27,2,3,2020,7
7,2020-02-28,Iran,106,7,245,26,212,29.0,93.0,0.0,0.0,2.0,31.0,28,2,4,2020,8
8,2020-02-29,Iran,143,8,388,34,286,30.0,96.0,1.0,0.0,3.0,33.0,29,2,5,2020,9
9,2020-03-01,Iran,205,9,593,43,410,31.0,99.0,2.0,0.0,4.0,35.0,1,3,6,2020,10
10,2020-03-02,Iran,385,11,978,54,770,32.0,102.0,3.0,0.0,5.0,37.0,2,3,0,2020,11
11,2020-03-03,Iran,523,12,1501,66,1046,33.0,105.0,4.0,0.0,6.0,39.0,3,3,1,2020,12
12,2020-03-04,Iran,835,11,2336,77,1670,34.0,108.0,5.0,0.0,7.0,41.0,4,3,2,2020,13
13,2020-03-05,Iran,586,15,2922,92,1172,35.0,112.0,6.0,0.0,8.0,43.0,5,3,3,2020,14
14,2020-03-06,Iran,591,15,3513,107,1182,36.0,116.0,7.0,0.0,9.0,45.0,6,3,4,2020,15
15,2020-03-07,Iran,1234,17,4747,124,2468,37.0,120.0,8.0,0.0,10.0,47.0,7,3,5,2020,16
16,2020-03-08,Iran,1076,21,5823,145,2152,38.0,124.0,9.0,0.0,12.0,50.0,8,3,6,2020,17
17,2020-03-09,Iran,743,49,6566,194,1486,39.0,128.0,10.0,0.0,14.0,53.0,9,3,0,2020,18
18,2020-03-10,Iran,595,43,7161,237,1190,40.0,132.0,11.0,0.0,16.0,56.0,10,3,1,2020,19
19,2020-03-11,Iran,881,54,8042,291,1762,41.0,136.0,12.0,0.0,18.0,59.0,11,3,2,2020,20
20,2020-03-12,Iran,958,63,9000,354,1916,42.0,140.0,13.0,0.0,20.0,62.0,12,3,3,2020,21
21,2020-03-13,Iran,1075,75,10075,429,3225,43.0,144.0,14.0,0.0,22.0,65.0,13,3,4,2020,22
22,2020-03-14,Iran,1289,85,11364,514,3867,44.0,148.0,15.0,0.0,24.0,68.0,14,3,5,2020,23
23,2020-03-15,Iran,1365,97,12729,611,4095,45.0,152.0,16.0,0.0,26.0,71.0,15,3,6,2020,24
24,2020-03-16,Iran,1209,113,13938,724,3627,46.0,156.0,17.0,0.0,28.0,74.0,16,3,0,2020,25
25,2020-03-17,Iran,1053,129,14991,853,3159,47.0,161.0,18.0,0.0,30.0,77.0,17,3,1,2020,26
26,2020-03-18,Iran,1178,135,16169,988,3534,48.0,166.0,19.0,0.0,32.0,80.0,18,3,2,2020,27
27,2020-03-19,Iran,1192,147,17361,1135,3576,49.0,171.0,20.0,0.0,34.0,83.0,19,3,3,2020,28
28,2020-03-20,Iran,1046,149,18407,1284,3138,50.0,176.0,21.0,0.0,36.0,86.0,20,3,4,2020,29
29,2020-03-21,Iran,1237,149,19644,1433,3711,51.0,181.0,22.0,0.0,38.0,89.0,21,3,5,2020,30
30,2020-03-22,Iran,966,123,20610,1556,2898,52.0,186.0,23.0,0.0,40.0,92.0,22,3,6,2020,31
31,2020-03-23,Iran,1028,129,21638,1685,3084,53.0,191.0,24.0,0.0,42.0,95.0,23,3,0,2020,32
32,2020-03-24,Iran,1411,127,23049,1812,4233,54.0,196.0,25.0,0.0,44.0,98.0,24,3,1,2020,33
33,2020-03-25,Iran,1762,122,24811,1934,5286,55.0,201.0,26.0,0.0,46.0,101.0,25,3,2,2020,34
34,2020-03-26,Iran,2206,143,27017,2077,6618,56.0,206.0,27.0,0.0,48.0,104.0,26,3,3,2020,35
35,2020-03-27,Iran,2389,157,29406,2234,7167,57.0,211.0,28.0,0.0,50.0,107.0,27,3,4,2020,36
