,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Weekday,Year,days_completed
0,2020-03-20,New Zealand,11,0,39,0,1554,0.0,10.0,8.0,0.0,2.0,10.0,20,3,4,2020,1
1,2020-03-21,New Zealand,14,0,53,0,1176,0.0,13.0,10.0,0.0,3.0,13.0,21,3,5,2020,2
2,2020-03-22,New Zealand,13,0,66,0,1256,0.0,16.0,12.0,0.0,4.0,16.0,22,3,6,2020,3
3,2020-03-23,New Zealand,36,0,102,0,1050,1.0,19.0,14.0,0.0,5.0,19.0,23,3,0,2020,4
4,2020-03-24,New Zealand,40,0,142,0,1544,2.0,23.0,16.0,0.0,6.0,22.0,24,3,1,2020,5
5,2020-03-25,New Zealand,47,0,189,0,2592,3.0,27.0,19.0,0.0,9.0,25.0,25,3,2,2020,6
6,2020-03-26,New Zealand,73,0,262,0,2117,4.0,31.0,22.0,0.0,12.0,28.0,26,3,3,2020,7
7,2020-03-27,New Zealand,76,0,338,0,2067,5.0,35.0,25.0,0.0,15.0,31.0,27,3,4,2020,8
8,2020-03-28,New Zealand,78,0,416,0,1809,6.0,39.0,28.0,0.0,18.0,34.0,28,3,5,2020,9
9,2020-03-29,New Zealand,60,1,476,1,918,7.0,43.0,31.0,0.0,21.0,37.0,29,3,6,2020,10
10,2020-03-30,New Zealand,76,0,552,1,1391,8.0,47.0,34.0,0.0,24.0,40.0,30,3,0,2020,11
11,2020-03-31,New Zealand,95,0,647,1,2093,9.0,51.0,37.0,0.0,27.0,43.0,31,3,1,2020,12
12,2020-04-01,New Zealand,0,0,647,1,2562,10.0,56.0,40.0,0.0,30.0,46.0,1,4,2,2020,13
13,2020-04-02,New Zealand,76,0,723,1,3446,11.0,61.0,43.0,0.0,33.0,49.0,2,4,3,2020,14
14,2020-04-03,New Zealand,49,0,772,1,3631,12.0,66.0,46.0,0.0,36.0,52.0,3,4,4,2020,15
15,2020-04-04,New Zealand,52,0,824,1,3093,13.0,71.0,49.0,0.0,39.0,55.0,4,4,5,2020,16
16,2020-04-05,New Zealand,48,0,872,1,3709,14.0,76.0,52.0,0.0,42.0,58.0,5,4,6,2020,17
17,2020-04-06,New Zealand,39,0,911,1,2908,15.0,81.0,55.0,0.0,45.0,61.0,6,4,0,2020,18
18,2020-04-07,New Zealand,32,0,943,1,4049,16.0,87.0,58.0,0.0,48.0,65.0,7,4,1,2020,19
19,2020-04-08,New Zealand,26,0,969,1,3990,17.0,93.0,61.0,0.0,51.0,69.0,8,4,2,2020,20
20,2020-04-09,New Zealand,23,0,992,1,4520,18.0,99.0,64.0,0.0,54.0,73.0,9,4,3,2020,21
21,2020-04-10,New Zealand,23,1,1015,2,3061,19.0,106.0,67.0,0.0,57.0,77.0,10,4,4,2020,22
22,2020-04-11,New Zealand,20,2,1035,4,2421,20.0,113.0,70.0,0.0,60.0,81.0,11,4,5,2020,23
23,2020-04-12,New Zealand,14,0,1049,4,1660,21.0,120.0,73.0,0.0,63.0,85.0,12,4,6,2020,24
24,2020-04-13,New Zealand,15,1,1064,5,1572,22.0,127.0,76.0,0.0,66.0,89.0,13,4,0,2020,25
25,2020-04-14,New Zealand,8,4,1072,9,2100,23.0,134.0,79.0,0.0,69.0,93.0,14,4,1,2020,26
26,2020-04-15,New Zealand,6,0,1078,9,3661,24.0,141.0,82.0,0.0,72.0,97.0,15,4,2,2020,27
27,2020-04-16,New Zealand,6,0,1084,9,4241,25.0,148.0,85.0,0.0,75.0,101.0,16,4,3,2020,28
28,2020-04-17,New Zealand,2,2,1086,11,4677,26.0,155.0,88.0,0.0,78.0,105.0,17,4,4,2020,29
29,2020-04-18,New Zealand,8,0,1094,11,4146,27.0,162.0,91.0,0.0,81.0,109.0,18,4,5,2020,30
30,2020-04-19,New Zealand,4,1,1098,12,3081,28.0,169.0,94.0,0.0,84.0,113.0,19,4,6,2020,31
31,2020-04-20,New Zealand,7,0,1105,12,3203,30.0,176.0,97.0,0.0,87.0,117.0,20,4,0,2020,32
32,2020-04-21,New Zealand,2,1,1107,13,5289,32.0,183.0,100.0,0.0,90.0,121.0,21,4,1,2020,33
33,2020-04-22,New Zealand,5,1,1112,14,6480,34.0,190.0,103.0,0.0,93.0,125.0,22,4,2,2020,34
34,2020-04-23,New Zealand,0,2,1112,16,6961,36.0,197.0,106.0,0.0,96.0,129.0,23,4,3,2020,35
35,2020-04-24,New Zealand,2,1,1114,17,6777,38.0,204.0,109.0,0.0,99.0,134.0,24,4,4,2020,36
36,2020-04-25,New Zealand,3,1,1117,18,5966,40.0,211.0,112.0,0.0,102.0,139.0,25,4,5,2020,37
37,2020-04-26,New Zealand,4,0,1121,18,2939,42.0,218.0,115.0,0.0,105.0,144.0,26,4,6,2020,38
38,2020-04-27,New Zealand,1,1,1122,19,2146,44.0,225.0,118.0,0.0,108.0,149.0,27,4,0,2020,39
39,2020-04-28,New Zealand,2,0,1124,19,2637,46.0,234.0,121.0,0.0,111.0,154.0,28,4,1,2020,40
40,2020-04-29,New Zealand,2,0,1126,19,5867,48.0,243.0,124.0,0.0,114.0,159.0,29,4,2,2020,41
41,2020-04-30,New Zealand,3,0,1129,19,5328,50.0,252.0,127.0,0.0,117.0,164.0,30,4,3,2020,42
42,2020-05-01,New Zealand,3,0,1132,19,5328,52.0,261.0,130.0,0.0,120.0,169.0,1,5,4,2020,43
