,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Weekday,Year,days_completed
0,2020-01-26,South Korea,1,0,3,0,9,0.0,0.0,0.0,0.0,0.0,0.0,26,1,6,2020,1
1,2020-01-27,South Korea,1,0,4,0,9,0.0,0.0,0.0,0.0,0.0,0.0,27,1,0,2020,2
2,2020-01-28,South Korea,0,0,4,0,9,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,2020,3
3,2020-01-29,South Korea,0,0,4,0,130,0.0,0.0,0.0,0.0,0.0,0.0,29,1,2,2020,4
4,2020-01-30,South Korea,0,0,4,0,100,0.0,0.0,0.0,0.0,0.0,0.0,30,1,3,2020,5
5,2020-01-31,South Korea,3,0,7,0,80,0.0,0.0,0.0,0.0,0.0,0.0,31,1,4,2020,6
6,2020-02-01,South Korea,5,0,12,0,65,0.0,0.0,0.0,0.0,0.0,0.0,1,2,5,2020,7
7,2020-02-02,South Korea,3,0,15,0,57,0.0,0.0,0.0,0.0,0.0,0.0,2,2,6,2020,8
8,2020-02-03,South Korea,0,0,15,0,58,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,2020,9
9,2020-02-04,South Korea,1,0,16,0,80,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,2020,10
10,2020-02-05,South Korea,2,0,18,0,100,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2020,11
11,2020-02-06,South Korea,5,0,23,0,107,0.0,0.0,0.0,0.0,0.0,0.0,6,2,3,2020,12
12,2020-02-07,South Korea,1,0,24,0,171,0.0,0.0,0.0,0.0,0.0,0.0,7,2,4,2020,13
13,2020-02-08,South Korea,0,0,24,0,245,0.0,0.0,0.0,0.0,0.0,0.0,8,2,5,2020,14
14,2020-02-09,South Korea,1,0,25,0,571,0.0,0.0,0.0,0.0,0.0,0.0,9,2,6,2020,15
15,2020-02-10,South Korea,2,0,27,0,639,0.0,0.0,0.0,0.0,0.0,0.0,10,2,0,2020,16
16,2020-02-11,South Korea,1,0,28,0,436,0.0,0.0,0.0,0.0,0.0,0.0,11,2,1,2020,17
17,2020-02-12,South Korea,0,0,28,0,853,0.0,0.0,0.0,0.0,0.0,0.0,12,2,2,2020,18
18,2020-02-13,South Korea,0,0,28,0,1445,0.0,0.0,0.0,0.0,0.0,0.0,13,2,3,2020,19
19,2020-02-14,South Korea,0,0,28,0,723,0.0,0.0,0.0,0.0,0.0,0.0,14,2,4,2020,20
20,2020-02-15,South Korea,0,0,28,0,1057,0.0,0.0,0.0,0.0,0.0,0.0,15,2,5,2020,21
21,2020-02-16,South Korea,1,0,29,0,665,0.0,0.0,0.0,0.0,0.0,0.0,16,2,6,2020,22
22,2020-02-17,South Korea,1,0,30,0,400,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0,2020,23
23,2020-02-18,South Korea,1,0,31,0,252,0.0,0.0,0.0,0.0,0.0,0.0,18,2,1,2020,24
24,2020-02-19,South Korea,15,0,46,0,1094,0.0,0.0,0.0,0.0,0.0,0.0,19,2,2,2020,25
25,2020-02-20,South Korea,34,0,80,0,1146,0.0,0.0,0.0,0.0,0.0,0.0,20,2,3,2020,26
26,2020-02-21,South Korea,75,1,155,1,1750,0.0,0.0,0.0,0.0,0.0,0.0,21,2,4,2020,27
27,2020-02-22,South Korea,190,1,345,2,2655,0.0,0.0,0.0,0.0,0.0,0.0,22,2,5,2020,28
28,2020-02-23,South Korea,256,3,601,5,4805,0.0,0.0,0.0,0.0,0.0,0.0,23,2,6,2020,29
29,2020-02-24,South Korea,161,2,762,7,3012,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0,2020,30
30,2020-02-25,South Korea,130,1,892,8,5982,0.0,0.0,0.0,0.0,0.0,0.0,25,2,1,2020,31
31,2020-02-26,South Korea,254,3,1146,11,8101,0.0,0.0,0.0,0.0,0.0,0.0,26,2,2,2020,32
32,2020-02-27,South Korea,449,1,1595,12,9411,0.0,0.0,0.0,0.0,1.0,0.0,27,2,3,2020,33
33,2020-02-28,South Korea,427,1,2022,13,11863,0.0,0.0,0.0,0.0,2.0,0.0,28,2,4,2020,34
34,2020-02-29,South Korea,909,3,2931,16,12950,0.0,0.0,0.0,0.0,3.0,0.0,29,2,5,2020,35
35,2020-03-01,South Korea,595,1,3526,17,14753,0.0,0.0,0.0,0.0,4.0,0.0,1,3,6,2020,36
36,2020-03-02,South Korea,686,5,4212,22,11292,0.0,0.0,0.0,0.0,5.0,0.0,2,3,0,2020,37
37,2020-03-03,South Korea,600,6,4812,28,12606,0.0,0.0,0.0,0.0,6.0,0.0,3,3,1,2020,38
38,2020-03-04,South Korea,516,4,5328,32,16260,0.0,0.0,0.0,0.0,7.0,0.0,4,3,2,2020,39
39,2020-03-05,South Korea,438,3,5766,35,10856,0.0,0.0,0.0,0.0,8.0,0.0,5,3,3,2020,40
40,2020-03-06,South Korea,518,7,6284,42,9834,0.0,0.0,0.0,0.0,9.0,0.0,6,3,4,2020,41
41,2020-03-07,South Korea,483,2,6767,44,18199,0.0,0.0,0.0,0.0,10.0,0.0,7,3,5,2020,42
42,2020-03-08,South Korea,367,6,7134,50,13449,0.0,0.0,0.0,0.0,11.0,0.0,8,3,6,2020,43
43,2020-03-09,South Korea,248,1,7382,51,10329,0.0,0.0,0.0,0.0,12.0,0.0,9,3,0,2020,44
44,2020-03-10,South Korea,131,3,7513,54,8100,0.0,2.0,0.0,0.0,13.0,1.0,10,3,1,2020,45
45,2020-03-11,South Korea,242,6,7755,60,13526,0.0,4.0,0.0,0.0,14.0,2.0,11,3,2,2020,46
46,2020-03-12,South Korea,114,6,7869,66,12251,0.0,6.0,0.0,0.0,15.0,4.0,12,3,3,2020,47
47,2020-03-13,South Korea,110,1,7979,67,12603,0.0,8.0,0.0,0.0,16.0,6.0,13,3,4,2020,48
48,2020-03-14,South Korea,107,5,8086,72,13649,0.0,10.0,0.0,0.0,17.0,8.0,14,3,5,2020,49
49,2020-03-15,South Korea,76,3,8162,75,12688,0.0,12.0,0.0,0.0,18.0,10.0,15,3,6,2020,50
50,2020-03-16,South Korea,74,0,8236,75,6877,0.0,15.0,0.0,0.0,20.0,13.0,16,3,0,2020,51
51,2020-03-17,South Korea,84,6,8320,81,6292,0.0,18.0,0.0,0.0,22.0,16.0,17,3,1,2020,52
52,2020-03-18,South Korea,93,5,8413,86,12212,0.0,21.0,0.0,0.0,24.0,19.0,18,3,2,2020,53
53,2020-03-19,South Korea,152,5,8565,91,8931,0.0,24.0,0.0,0.0,26.0,22.0,19,3,3,2020,54
54,2020-03-20,South Korea,87,9,8652,100,11377,0.0,28.0,0.0,0.0,28.0,25.0,20,3,4,2020,55
55,2020-03-21,South Korea,147,3,8799,103,9640,0.0,32.0,0.0,0.0,30.0,28.0,21,3,5,2020,56
56,2020-03-22,South Korea,98,1,8897,104,10845,1.0,37.0,0.0,0.0,32.0,31.0,22,3,6,2020,57
57,2020-03-23,South Korea,64,9,8961,113,4271,2.0,42.0,0.0,0.0,34.0,34.0,23,3,0,2020,58
58,2020-03-24,South Korea,76,7,9037,120,6256,3.0,47.0,0.0,0.0,36.0,37.0,24,3,1,2020,59
59,2020-03-25,South Korea,100,6,9137,126,10546,4.0,52.0,0.0,0.0,38.0,40.0,25,3,2,2020,60
60,2020-03-26,South Korea,104,5,9241,131,9314,5.0,57.0,0.0,0.0,40.0,43.0,26,3,3,2020,61
61,2020-03-27,South Korea,91,8,9332,139,7046,6.0,62.0,0.0,0.0,42.0,46.0,27,3,4,2020,62
62,2020-03-28,South Korea,146,5,9478,144,12019,7.0,67.0,0.0,0.0,44.0,49.0,28,3,5,2020,63
63,2020-03-29,South Korea,105,8,9583,152,10964,8.0,72.0,0.0,0.0,46.0,52.0,29,3,6,2020,64
64,2020-03-30,South Korea,78,6,9661,158,6216,9.0,77.0,0.0,0.0,48.0,55.0,30,3,0,2020,65
65,2020-03-31,South Korea,125,5,9786,163,1053,10.0,82.0,0.0,0.0,50.0,58.0,31,3,1,2020,66
66,2020-04-01,South Korea,0,0,9786,163,15370,11.0,87.0,0.0,0.0,52.0,61.0,1,4,2,2020,67
67,2020-04-02,South Korea,190,6,9976,169,10983,12.0,92.0,0.0,0.0,54.0,64.0,2,4,3,2020,68
68,2020-04-03,South Korea,86,5,10062,174,10196,13.0,97.0,0.0,0.0,56.0,67.0,3,4,4,2020,69
69,2020-04-04,South Korea,94,3,10156,177,11530,14.0,102.0,0.0,0.0,58.0,70.0,4,4,5,2020,70
70,2020-04-05,South Korea,81,6,10237,183,11759,15.0,107.0,0.0,0.0,60.0,73.0,5,4,6,2020,71
71,2020-04-06,South Korea,47,3,10284,186,6201,16.0,112.0,0.0,0.0,62.0,76.0,6,4,0,2020,72
72,2020-04-07,South Korea,47,6,10331,192,5571,17.0,117.0,0.0,0.0,64.0,79.0,7,4,1,2020,73
73,2020-04-08,South Korea,53,8,10384,200,10500,18.0,122.0,0.0,0.0,66.0,82.0,8,4,2,2020,74
74,2020-04-09,South Korea,39,4,10423,204,8699,19.0,127.0,0.0,0.0,68.0,85.0,9,4,3,2020,75
75,2020-04-10,South Korea,27,4,10450,208,8708,20.0,132.0,0.0,0.0,70.0,88.0,10,4,4,2020,76
76,2020-04-11,South Korea,0,0,10450,208,8340,21.0,138.0,0.0,0.0,72.0,91.0,11,4,5,2020,77
77,2020-04-12,South Korea,62,6,10512,214,7428,22.0,144.0,0.0,0.0,74.0,94.0,12,4,6,2020,78
78,2020-04-13,South Korea,25,3,10537,217,4142,23.0,150.0,0.0,0.0,76.0,97.0,13,4,0,2020,79
79,2020-04-14,South Korea,27,5,10564,222,4122,24.0,156.0,0.0,0.0,78.0,100.0,14,4,1,2020,80
80,2020-04-15,South Korea,27,3,10591,225,8695,25.0,162.0,0.0,0.0,80.0,103.0,15,4,2,2020,81
81,2020-04-16,South Korea,22,4,10613,229,7114,26.0,168.0,0.0,0.0,82.0,106.0,16,4,3,2020,82
82,2020-04-17,South Korea,22,1,10635,230,4223,27.0,174.0,0.0,0.0,84.0,109.0,17,4,4,2020,83
83,2020-04-18,South Korea,18,2,10653,232,7688,28.0,180.0,0.0,0.0,86.0,112.0,18,4,5,2020,84
84,2020-04-19,South Korea,8,2,10661,234,8371,29.0,186.0,0.0,0.0,88.0,115.0,19,4,6,2020,85
85,2020-04-20,South Korea,13,2,10674,236,4275,30.0,192.0,0.0,0.0,90.0,118.0,20,4,0,2020,86
86,2020-04-21,South Korea,9,1,10683,237,3926,31.0,198.0,0.0,0.0,92.0,121.0,21,4,1,2020,87
87,2020-04-22,South Korea,11,1,10694,238,7979,32.0,204.0,0.0,0.0,94.0,124.0,22,4,2,2020,88
88,2020-04-23,South Korea,8,2,10702,240,6945,33.0,210.0,0.0,0.0,96.0,127.0,23,4,3,2020,89
89,2020-04-24,South Korea,6,0,10708,240,6012,34.0,216.0,1.0,0.0,98.0,130.0,24,4,4,2020,90
90,2020-04-25,South Korea,10,0,10718,240,5549,35.0,222.0,2.0,0.0,100.0,133.0,25,4,5,2020,91
91,2020-04-26,South Korea,10,2,10728,242,5641,36.0,228.0,3.0,0.0,102.0,136.0,26,4,6,2020,92
92,2020-04-27,South Korea,10,1,10738,243,3124,37.0,234.0,4.0,0.0,104.0,139.0,27,4,0,2020,93
93,2020-04-28,South Korea,14,1,10752,244,3375,38.0,240.0,5.0,0.0,106.0,142.0,28,4,1,2020,94
94,2020-04-29,South Korea,9,2,10761,246,6854,39.0,246.0,6.0,0.0,108.0,145.0,29,4,2,2020,95
95,2020-04-30,South Korea,4,1,10765,247,5683,40.0,252.0,7.0,0.0,110.0,148.0,30,4,3,2020,96
96,2020-05-01,South Korea,9,1,10774,248,5684,41.0,258.0,8.0,0.0,112.0,151.0,1,5,4,2020,97
