,geoId,countriesAndTerritories,Dates,cum_day,total_cases,cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,rolling_std,Stages
743,AUS,Australia,2020-03-10,46,100,20,3,0,3.9219999999999997,0.784,0.11800000000000001,0.0,,,,,,0.0010484112434753343,1
744,AUS,Australia,2020-03-11,47,112,12,3,0,4.3919999999999995,0.47100000000000003,0.11800000000000001,0.0,,,,,,0.0010379443133690693,1
746,AUS,Australia,2020-03-13,49,156,30,3,0,6.117999999999999,1.176,0.11800000000000001,0.0,,,,,,0.0014579231158020534,1
747,AUS,Australia,2020-03-14,50,197,41,3,0,7.726,1.608,0.11800000000000001,0.0,,,,,,0.0020063456829137786,1
748,AUS,Australia,2020-03-15,51,249,52,3,0,9.765,2.039,0.11800000000000001,0.0,,,,,,0.0016255356878971496,1
750,AUS,Australia,2020-03-17,53,375,77,5,0,14.706,3.02,0.196,0.0,,,,,,0.00227178021922077,1
751,AUS,Australia,2020-03-18,54,454,79,5,0,17.804000000000002,3.0980000000000003,0.196,0.0,,,,,,0.002478645510154008,1
752,AUS,Australia,2020-03-19,55,565,111,6,1,22.156999999999996,4.353,0.235,0.039,,,,,,0.002819385847249727,1
753,AUS,Australia,2020-03-20,56,709,144,6,0,27.804000000000002,5.647,0.235,0.0,,,,,,0.004802908530515151,1
754,AUS,Australia,2020-03-21,57,874,165,7,1,34.275,6.471,0.275,0.039,,,,,,0.004022656299339794,1
755,AUS,Australia,2020-03-22,58,1098,224,7,0,43.059,8.783999999999999,0.275,0.0,143056.0,,5.61,,tests performed,0.006129289375226101,1
756,AUS,Australia,2020-03-23,59,1709,611,7,0,67.02,23.961,0.275,0.0,,,,,,0.0358015566855725,1
757,AUS,Australia,2020-03-24,60,1823,114,7,0,71.491,4.471,0.275,0.0,,,,,,0.03857669968652387,1
758,AUS,Australia,2020-03-25,61,2423,600,8,1,95.02,23.53,0.314,0.039,,,,,,0.04194191709026175,1
759,AUS,Australia,2020-03-26,62,2799,376,11,3,109.765,14.745,0.431,0.11800000000000001,,,,,,0.03594613173292304,1
760,AUS,Australia,2020-03-27,63,3166,367,13,2,124.15700000000001,14.392000000000001,0.51,0.078,,,,,,0.01950661483969616,1
761,AUS,Australia,2020-03-28,64,3378,212,13,0,132.471,8.314,0.51,0.0,,,,,,0.013624538541306526,1
762,AUS,Australia,2020-03-29,65,3809,431,14,1,149.373,16.902,0.5489999999999999,0.039,211261.0,,8.285,,tests performed,0.016640606792633312,1
763,AUS,Australia,2020-03-30,66,4093,284,16,2,160.511,11.137,0.627,0.078,,,,,,0.016494737801173012,1
764,AUS,Australia,2020-03-31,67,4557,464,19,3,178.707,18.195999999999998,0.745,0.11800000000000001,,,,,,0.014161071503540856,1
765,AUS,Australia,2020-04-01,68,4707,150,20,1,184.58900000000003,5.882000000000001,0.784,0.039,,,,,,0.02328366637560165,1
766,AUS,Australia,2020-04-02,69,4976,269,21,1,195.138,10.549000000000001,0.8240000000000001,0.039,,,,,,0.02342625940939711,1
767,AUS,Australia,2020-04-03,70,5224,248,23,2,204.864,9.726,0.902,0.078,,,,,,0.009386198031792824,1
768,AUS,Australia,2020-04-04,71,5548,324,30,7,217.57,12.706,1.176,0.275,,,,,,0.0057997754648782505,1
769,AUS,Australia,2020-04-05,72,5687,139,34,4,223.021,5.4510000000000005,1.3330000000000002,0.157,297154.0,,11.652999999999999,,tests performed,0.01374157628049969,1
770,AUS,Australia,2020-04-06,73,5744,57,36,2,225.25599999999997,2.235,1.412,0.078,302663.0,5509.0,11.869000000000002,0.21600000000000003,tests performed,0.020211481943475315,1
771,AUS,Australia,2020-04-07,74,5844,100,42,6,229.178,3.9219999999999997,1.6469999999999998,0.235,310700.0,8037.0,12.184000000000001,0.315,tests performed,0.006061217221749065,1
772,AUS,Australia,2020-04-08,75,5956,112,45,3,233.57,4.3919999999999995,1.765,0.11800000000000001,319368.0,8668.0,12.524000000000001,0.34,tests performed,0.0042735966162738125,1
773,AUS,Australia,2020-04-09,76,6052,96,50,5,237.334,3.765,1.9609999999999999,0.196,330134.0,10766.0,12.946,0.42200000000000004,tests performed,0.0012304808626958995,1
774,AUS,Australia,2020-04-10,77,6152,100,52,2,241.25599999999997,3.9219999999999997,2.039,0.078,338346.0,8212.0,13.269,0.322,tests performed,0.0012304808626958995,1
775,AUS,Australia,2020-04-11,78,6238,86,54,2,244.62900000000002,3.373,2.1180000000000003,0.078,347847.0,9501.0,13.640999999999998,0.373,tests performed,0.001065627685965181,1
776,AUS,Australia,2020-04-12,79,6289,51,57,3,246.62900000000002,2.0,2.235,0.11800000000000001,353941.0,6094.0,13.88,0.239,tests performed,0.003729696900878891,1
777,AUS,Australia,2020-04-13,80,6322,33,61,4,247.923,1.294,2.392,0.157,362136.0,8195.0,14.200999999999999,0.321,tests performed,0.003982646969252117,1
778,AUS,Australia,2020-04-14,81,6366,44,61,0,249.648,1.725,2.392,0.0,366493.0,4357.0,14.372,0.171,tests performed,0.0013408854331130521,1
