,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-02-20,South Korea,34,0,80,0,1146,0.0,0.0,0.0,0.0,0.0,0.0,20,2,2020,1,1.56,0.6629999999999999,0.0,0.0,0.0015364574210024544,1,0,3,1
1,2020-02-21,South Korea,75,1,155,1,1750,0.0,0.0,0.0,0.0,0.0,0.0,21,2,2020,2,3.023,1.463,0.02,0.02,0.00284460621697141,1,0,4,2
2,2020-02-22,South Korea,190,1,345,2,2655,0.0,0.0,0.0,0.0,0.0,0.0,22,2,2020,3,6.729,3.706,0.039,0.02,0.007502071184080859,2,2,5,3
3,2020-02-23,South Korea,256,3,601,5,4805,0.0,0.0,0.0,0.0,0.0,0.0,23,2,2020,4,11.722,4.993,0.098,0.059,0.008497102293894205,2,2,6,4
4,2020-02-24,South Korea,161,2,762,7,3012,0.0,0.0,0.0,0.0,0.0,0.0,24,2,2020,5,14.863,3.14,0.13699999999999998,0.039,0.004516332949131893,2,2,0,5
5,2020-02-25,South Korea,130,1,892,8,5982,0.0,0.0,0.0,0.0,0.0,0.0,25,2,2020,6,17.398,2.536,0.156,0.02,0.006090271696862802,2,2,1,6
6,2020-02-26,South Korea,254,3,1146,11,8101,0.0,0.0,0.0,0.0,0.0,0.0,26,2,2020,7,22.353,4.954,0.215,0.059,0.005986238031859937,2,2,2,7
7,2020-02-27,South Korea,449,1,1595,12,9411,0.0,0.0,0.0,0.0,1.0,0.0,27,2,2020,8,31.11,8.758,0.234,0.02,0.014917577350219813,3,1,3,8
8,2020-02-28,South Korea,427,1,2022,13,11863,0.0,0.0,0.0,0.0,2.0,0.0,28,2,2020,9,39.439,8.329,0.254,0.02,0.009907276155186807,3,1,4,9
9,2020-02-29,South Korea,909,3,2931,16,12950,0.0,0.0,0.0,0.0,3.0,0.0,29,2,2020,10,57.169,17.73,0.312,0.059,0.025246230794112992,4,3,5,10
10,2020-03-01,South Korea,595,1,3526,17,14753,0.0,0.0,0.0,0.0,4.0,0.0,1,3,2020,11,68.774,11.605,0.332,0.02,0.022695508705560318,3,1,6,11
11,2020-03-02,South Korea,686,5,4212,22,11292,0.0,0.0,0.0,0.0,5.0,0.0,2,3,2020,12,82.155,13.38,0.429,0.098,0.014986831085964153,4,3,0,12
12,2020-03-03,South Korea,600,6,4812,28,12606,0.0,0.0,0.0,0.0,6.0,0.0,3,3,2020,13,93.858,11.703,0.546,0.117,0.0047455122680625,3,1,1,13
13,2020-03-04,South Korea,516,4,5328,32,16260,0.0,0.0,0.0,0.0,7.0,0.0,4,3,2020,14,103.922,10.065,0.624,0.078,0.007885154059526707,3,1,2,14
14,2020-03-05,South Korea,438,3,5766,35,10856,0.0,0.0,0.0,0.0,8.0,0.0,5,3,2020,15,112.465,8.543,0.6829999999999999,0.059,0.007515632319305728,3,1,3,15
15,2020-03-06,South Korea,518,7,6284,42,9834,0.0,0.0,0.0,0.0,9.0,0.0,6,3,2020,16,122.569,10.104,0.8190000000000001,0.13699999999999998,0.0042320623651020866,3,1,4,16
