,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-03-07,Switzerland,122,0,209,1,1577.0,0.0,8.0,2.0,0.0,9.0,48.0,7,3,2020,1,24.149,14.097,0.116,0.0,0.00189810733600934,1,2,5,1
1,2020-03-08,Switzerland,55,0,264,1,2104.0,0.0,10.0,3.0,0.0,10.0,50.0,8,3,2020,2,30.504,6.355,0.116,0.0,0.001605934763657592,1,2,6,2
2,2020-03-09,Switzerland,68,1,332,2,2601.0,0.0,12.0,4.0,0.0,11.0,52.0,9,3,2020,3,38.361,7.857,0.231,0.116,0.0011994237595814618,1,2,0,3
3,2020-03-11,Switzerland,116,1,490,3,4617.0,0.0,16.0,6.0,0.0,13.0,57.0,11,3,2020,5,56.617,13.403,0.34700000000000003,0.116,0.0012673380798326553,1,2,2,4
4,2020-03-12,Switzerland,152,1,642,4,4967.0,0.0,18.0,7.0,0.0,14.0,60.0,12,3,2020,6,74.18,17.563,0.462,0.116,0.0018932979346925132,1,2,3,5
5,2020-03-13,Switzerland,212,0,854,4,2783.0,0.0,20.0,9.0,0.0,15.0,63.0,13,3,2020,7,98.676,24.496,0.462,0.0,0.0016372095946232054,2,0,4,6
6,2020-03-14,Switzerland,267,3,1121,7,5187.0,0.0,22.0,11.0,0.0,16.0,66.0,14,3,2020,8,129.526,30.851,0.809,0.34700000000000003,0.0019417363138587774,2,0,5,7
7,2020-03-16,Switzerland,841,2,2200,13,10223.0,0.0,26.0,16.0,0.0,20.0,72.0,16,3,2020,10,254.2,97.174,1.5019999999999998,0.231,0.01148065264243735,3,3,0,8
8,2020-03-17,Switzerland,0,1,2200,14,9543.0,0.0,28.0,19.0,0.0,23.0,75.0,17,3,2020,11,254.2,0.0,1.618,0.116,0.014634396601069053,1,2,1,9
9,2020-03-18,Switzerland,450,5,2650,19,8115.0,0.0,30.0,22.0,0.0,26.0,78.0,18,3,2020,12,306.195,51.995,2.195,0.578,0.014207169850878684,2,0,2,10
10,2020-03-19,Switzerland,360,2,3010,21,6215.0,1.0,34.0,25.0,0.0,29.0,81.0,19,3,2020,13,347.791,41.596,2.426,0.231,0.008038539531288,2,0,3,11
11,2020-03-20,Switzerland,878,12,3888,33,3623.0,2.0,38.0,28.0,0.0,32.0,84.0,20,3,2020,14,449.24,101.449,3.813,1.3869999999999998,0.009343375154144129,4,1,4,12
12,2020-03-21,Switzerland,952,10,4840,43,6080.0,3.0,42.0,31.0,0.0,35.0,87.0,21,3,2020,15,559.239,109.999,4.968,1.155,0.010889154068665512,4,1,5,13
13,2020-03-22,Switzerland,1237,13,6077,56,5812.0,4.0,46.0,34.0,0.0,38.0,90.0,22,3,2020,16,702.168,142.929,6.471,1.5019999999999998,0.006399060931692143,4,1,6,14
14,2020-03-23,Switzerland,894,4,6971,60,7365.0,6.0,50.0,37.0,0.0,41.0,93.0,23,3,2020,17,805.466,103.297,6.933,0.462,0.0061978545212674025,4,1,0,15
15,2020-03-24,Switzerland,1044,6,8015,66,8268.0,8.0,54.0,40.0,0.0,44.0,96.0,24,3,2020,18,926.095,120.629,7.626,0.693,0.005804761182277138,4,1,1,16
16,2020-03-25,Switzerland,774,20,8789,86,7100.0,10.0,58.0,43.0,0.0,47.0,100.0,25,3,2020,19,1015.527,89.432,9.937,2.311,0.00456679132349898,3,3,2,17
17,2020-03-26,Switzerland,925,17,9714,103,5785.0,12.0,62.0,47.0,0.0,50.0,104.0,26,3,2020,20,1122.407,106.879,11.901,1.964,0.004568080490637028,4,1,3,18
18,2020-03-27,Switzerland,1000,58,10714,161,3404.0,14.0,66.0,52.0,0.0,53.0,109.0,27,3,2020,21,1237.952,115.545,18.603,6.702000000000001,0.0038859662490913155,4,1,4,19
19,2020-03-28,Switzerland,1390,36,12104,197,4187.0,16.0,70.0,57.0,0.0,56.0,114.0,28,3,2020,22,1398.56,160.608,22.762,4.16,0.008427849390871591,4,1,5,20
20,2020-03-29,Switzerland,1048,38,13152,235,6763.0,18.0,74.0,62.0,0.0,59.0,119.0,29,3,2020,23,1519.651,121.091,27.153,4.391,0.007179419233021293,4,1,6,21
21,2020-03-30,Switzerland,1122,22,14274,257,6760.0,20.0,78.0,67.0,0.0,62.0,124.0,30,3,2020,24,1649.293,129.642,29.695,2.542,0.006074438796203564,4,1,0,22
22,2020-03-31,Switzerland,1138,38,15412,295,7140.0,22.0,82.0,72.0,0.0,65.0,129.0,31,3,2020,25,1780.783,131.49,34.086,4.391,0.0016208860603632532,4,1,1,23
23,2020-04-01,Switzerland,696,78,16108,373,6544.0,24.0,86.0,77.0,0.0,68.0,134.0,1,4,2020,26,1861.203,80.419,43.098,9.013,0.008463226423445415,3,3,2,24
24,2020-04-02,Switzerland,962,5,17070,378,5375.0,26.0,90.0,82.0,0.0,71.0,139.0,2,4,2020,27,1972.357,111.155,43.676,0.578,0.0075120487824486765,4,1,3,25
25,2020-04-03,Switzerland,1124,54,18194,432,3691.0,28.0,94.0,87.0,0.0,74.0,144.0,3,4,2020,28,2102.23,129.873,49.916,6.239,0.007295106941827572,4,1,4,26
26,2020-04-04,Switzerland,1033,52,19227,484,3962.0,30.0,98.0,92.0,0.0,77.0,149.0,4,4,2020,29,2221.589,119.358,55.924,6.007999999999999,0.002741391554746661,4,1,5,27
27,2020-04-05,Switzerland,974,56,20201,540,6515.0,32.0,102.0,97.0,0.0,80.0,154.0,5,4,2020,30,2334.13,112.541,62.394,6.471,0.002551034620791392,4,1,6,28
28,2020-04-06,Switzerland,821,19,21022,559,6734.0,34.0,106.0,102.0,0.0,83.0,159.0,6,4,2020,31,2428.992,94.863,64.59,2.195,0.0036938139947270297,3,3,0,29
29,2020-04-07,Switzerland,552,25,21574,584,6123.0,36.0,110.0,107.0,0.0,86.0,164.0,7,4,2020,32,2492.773,63.78100000000001,67.47800000000001,2.889,0.007212229560610441,3,3,1,30
30,2020-04-08,Switzerland,590,57,22164,641,4216.0,38.0,114.0,112.0,0.0,89.0,169.0,8,4,2020,33,2560.945,68.172,74.065,6.586,0.0049146829070237106,3,3,2,31
31,2020-04-10,Switzerland,785,51,23495,756,2428.0,42.0,122.0,122.0,0.0,95.0,179.0,10,4,2020,35,2714.736,90.703,87.352,5.893,0.004294171196697468,3,3,4,32
32,2020-04-11,Switzerland,733,49,24228,805,2215.0,44.0,126.0,127.0,0.0,98.0,184.0,11,4,2020,36,2799.43,84.695,93.014,5.662000000000001,0.004243267606859849,3,3,5,33
33,2020-04-12,Switzerland,592,26,24820,831,4153.0,46.0,130.0,132.0,0.0,101.0,189.0,12,4,2020,37,2867.833,68.403,96.018,3.004,0.003371196099301977,3,3,6,34
34,2020-04-13,Switzerland,400,27,25220,858,5510.0,48.0,134.0,137.0,0.0,104.0,194.0,13,4,2020,38,2914.051,46.218,99.138,3.12,0.0056427531416604676,2,0,0,35
35,2020-04-14,Switzerland,279,0,25499,858,5125.0,50.0,138.0,142.0,0.0,107.0,199.0,14,4,2020,39,2946.288,32.236999999999995,99.138,0.0,0.005328350996041015,2,0,1,36
