,geoId,countriesAndTerritories,Dates,days_outbreak,total_cases,cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,rolling_std,Stages,Components
743,AUS,Australia,2020-03-10,1,100,20,3,0,3.922,0.784,0.118,0,,,,,,0.001048411243475,1,1
744,AUS,Australia,2020-03-11,2,112,12,3,0,4.392,0.471,0.118,0,,,,,,0.001037944313369,1,1
746,AUS,Australia,2020-03-13,4,156,30,3,0,6.118,1.176,0.118,0,,,,,,0.001457923115802,1,1
747,AUS,Australia,2020-03-14,5,197,41,3,0,7.726,1.608,0.118,0,,,,,,0.002006345682914,1,1
748,AUS,Australia,2020-03-15,6,249,52,3,0,9.765,2.039,0.118,0,,,,,,0.001625535687897,1,1
750,AUS,Australia,2020-03-17,8,375,77,5,0,14.706,3.02,0.196,0,,,,,,0.002271780219221,2,3
751,AUS,Australia,2020-03-18,9,454,79,5,0,17.804,3.098,0.196,0,,,,,,0.002478645510154,2,3
752,AUS,Australia,2020-03-19,10,565,111,6,1,22.157,4.353,0.235,0.039,,,,,,0.00281938584725,2,3
753,AUS,Australia,2020-03-20,11,709,144,6,0,27.804,5.647,0.235,0,,,,,,0.004802908530515,2,3
754,AUS,Australia,2020-03-21,12,874,165,7,1,34.275,6.471,0.275,0.039,,,,,,0.00402265629934,2,3
755,AUS,Australia,2020-03-22,13,1098,224,7,0,43.059,8.784,0.275,0,143056,,5.61,,tests performed,0.006129289375226,3,0
756,AUS,Australia,2020-03-23,14,1709,611,7,0,67.02,23.961,0.275,0,,,,,,0.035801556685573,4,2
757,AUS,Australia,2020-03-24,15,1823,114,7,0,71.491,4.471,0.275,0,,,,,,0.038576699686524,2,3
758,AUS,Australia,2020-03-25,16,2423,600,8,1,95.02,23.53,0.314,0.039,,,,,,0.041941917090262,4,2
759,AUS,Australia,2020-03-26,17,2799,376,11,3,109.765,14.745,0.431,0.118,,,,,,0.035946131732923,3,0
760,AUS,Australia,2020-03-27,18,3166,367,13,2,124.157,14.392,0.51,0.078,,,,,,0.019506614839696,3,0
761,AUS,Australia,2020-03-28,19,3378,212,13,0,132.471,8.314,0.51,0,,,,,,0.013624538541307,3,0
762,AUS,Australia,2020-03-29,20,3809,431,14,1,149.373,16.902,0.549,0.039,211261,,8.285,,tests performed,0.016640606792633,4,2
763,AUS,Australia,2020-03-30,21,4093,284,16,2,160.511,11.137,0.627,0.078,,,,,,0.016494737801173,3,0
764,AUS,Australia,2020-03-31,22,4557,464,19,3,178.707,18.196,0.745,0.118,,,,,,0.014161071503541,4,2
765,AUS,Australia,2020-04-01,23,4707,150,20,1,184.589,5.882,0.784,0.039,,,,,,0.023283666375602,2,3
766,AUS,Australia,2020-04-02,24,4976,269,21,1,195.138,10.549,0.824,0.039,,,,,,0.023426259409397,3,0
767,AUS,Australia,2020-04-03,25,5224,248,23,2,204.864,9.726,0.902,0.078,,,,,,0.009386198031793,3,0
768,AUS,Australia,2020-04-04,26,5548,324,30,7,217.57,12.706,1.176,0.275,,,,,,0.005799775464878,3,0
769,AUS,Australia,2020-04-05,27,5687,139,34,4,223.021,5.451,1.333,0.157,297154,,11.653,,tests performed,0.0137415762805,2,3
770,AUS,Australia,2020-04-06,28,5744,57,36,2,225.256,2.235,1.412,0.078,302663,5509,11.869,0.216,tests performed,0.020211481943475,1,1
771,AUS,Australia,2020-04-07,29,5844,100,42,6,229.178,3.922,1.647,0.235,310700,8037,12.184,0.315,tests performed,0.006061217221749,2,3
772,AUS,Australia,2020-04-08,30,5956,112,45,3,233.57,4.392,1.765,0.118,319368,8668,12.524,0.34,tests performed,0.004273596616274,2,3
773,AUS,Australia,2020-04-09,31,6052,96,50,5,237.334,3.765,1.961,0.196,330134,10766,12.946,0.422,tests performed,0.001230480862696,2,3
774,AUS,Australia,2020-04-10,32,6152,100,52,2,241.256,3.922,2.039,0.078,338346,8212,13.269,0.322,tests performed,0.001230480862696,2,3
775,AUS,Australia,2020-04-11,33,6238,86,54,2,244.629,3.373,2.118,0.078,347847,9501,13.641,0.373,tests performed,0.001065627685965,2,3
776,AUS,Australia,2020-04-12,34,6289,51,57,3,246.629,2,2.235,0.118,353941,6094,13.88,0.239,tests performed,0.003729696900879,1,1
777,AUS,Australia,2020-04-13,35,6322,33,61,4,247.923,1.294,2.392,0.157,362136,8195,14.201,0.321,tests performed,0.003982646969252,1,1
778,AUS,Australia,2020-04-14,36,6366,44,61,0,249.648,1.725,2.392,0,366493,4357,14.372,0.171,tests performed,0.001340885433113,1,1
779,AUS,Australia,2020-04-15,37,6416,50,61,0,251.609,1.961,2.392,0,371377,4884,14.564,0.192,tests performed,0.001274076858911,1,1
783,AUS,Australia,2020-04-19,41,6586,53,69,2,258.276,2.078,2.706,0.078,420996,14486,16.51,0.568,tests performed,0.001340885433113,1,1
784,AUS,Australia,2020-04-20,42,6612,26,70,1,259.295,1.02,2.745,0.039,431734,10738,16.931,0.421,tests performed,0.002017200653115,1,1
785,AUS,Australia,2020-04-21,43,6625,13,71,1,259.805,0.51,2.784,0.039,439842,8108,17.249,0.318,tests performed,0.003015257562249,1,1
787,AUS,Australia,2020-04-23,45,6654,7,74,0,260.942,0.275,2.902,0,466659,14218,18.3,0.558,tests performed,0.001115684119295,1,1
788,AUS,Australia,2020-04-24,46,6667,13,75,1,261.452,0.51,2.941,0.039,482370,15711,18.917,0.616,tests performed,0.001115684119295,1,1
866,AUT,Austria,2020-03-09,1,102,3,0,0,11.325,0.333,0,0,4734,225,0.526,0.025,tests performed,0.001000251556906,1,0
868,AUT,Austria,2020-03-11,3,182,51,0,0,20.208,5.663,0,0,5362,336,0.595,0.037,tests performed,0.00154708400755,1,0
869,AUT,Austria,2020-03-12,4,246,64,0,0,27.314,7.106,0,0,5869,507,0.652,0.056,tests performed,0.001139128582381,1,0
870,AUT,Austria,2020-03-13,5,361,115,1,1,40.083,12.769,0.111,0.111,6582,713,0.731,0.079,tests performed,0.002178095183503,1,0
871,AUT,Austria,2020-03-14,6,504,143,1,0,55.96,15.878,0.111,0,7467,885,0.829,0.098,tests performed,0.002578979463067,1,0
