data,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2/1/20,1,0,0,300000,2,1
2/2/20,2,0,0,299999.726204982,2.22740865467133,1.04638636355264
2/3/20,3,0,0,299999.421276279,2.48067627347602,1.09804744723157
2/4/20,3,0,0,299999.081529603,2.762862923164,1.1556074741636
2/5/20,3,0,0,299998.703191904,3.07710240764814,1.21970568838799
2/6/20,3,0,0,299998.282056185,3.42688896100809,1.29105485379299
2/7/20,3,0,0,299997.813238327,3.81627920383425,1.37048246930227
2/8/20,3,0,0,299997.291177088,4.24989214322783,1.45893076887499
2/9/20,3,0,0,299996.709634106,4.73290917280078,1.55745672150575
2/10/20,3,0,0,299996.061693896,5.27107407267586,1.66723203122461
2/11/20,3,0,0,299995.339763853,5.8706930094866,1.78954313709707
2/12/20,3,0,0,299994.53557425,6.5386345363773,1.9257912132241
2/13/20,3,0,0,299993.640173885,7.2823332077753,2.07749290728245
2/14/20,3,0,0,299992.642374974,8.11108089057217,2.24654413497854
2/15/20,3,0,0,299991.531052602,9.03411755712512,2.4348298406793
2/16/20,0,3,0,299990.29463183,10.0610571781268,2.6443109922642
2/17/20,0,3,0,299988.919238325,11.2034233368091,2.87733833844756
2/18/20,0,3,0,299987.388698362,12.4746492289428,3.13665240877863
2/19/20,0,3,0,299985.684538823,13.8900776628379,3.42538351364153
2/20/20,0,3,0,299983.785987196,15.4669610593435,3.74705174425529
2/21/20,0,3,0,299981.669971576,17.2244614518479,4.10556697267383
2/22/20,0,3,0,299979.311120662,19.1836504862782,4.50522885178596
2/23/20,0,3,0,299976.681763764,21.367509421101,4.95072681531539
2/24/20,0,3,0,299973.751930795,23.8009291273217,5.44714007782073
2/25/20,0,3,0,299970.489352277,26.510710088485,5.99993763469545
2/26/20,0,3,0,299966.858629943,29.5262505680477,6.61511948904954
2/27/20,0,3,0,299962.811612274,32.8875336815696,7.3008540444273
2/28/20,0,3,0,299958.306058274,36.6296445380974,8.06429718818065
2/29/20,0,3,0,299953.295200624,40.7914284460576,8.91337093032966
3/1/20,0,3,0,299947.722800024,45.4195941366804,9.85760583900643
3/2/20,2,3,0,299941.523145196,50.5687137639999,10.9081410404551
3/3/20,2,3,0,299934.621052876,56.3012229048539,12.0777242190319
3/4/20,25,3,0,299926.931867824,62.6874205588837,13.380711617205
3/5/20,27,3,0,299918.361462816,69.8054691485348,14.8330680355547
3/6/20,28,3,0,299908.806238648,77.741394519056,16.4523668327734
3/7/20,31,3,0,299898.153124136,86.5890859385003,18.2577899256655
3/8/20,36,3,0,299886.279576113,96.4502960977241,20.2701277891474
3/9/20,40,3,0,299873.053579433,107.434641110388,22.5117794562476
3/10/20,52,4,0,299858.333646969,119.659600512955,25.0067525181066
3/11/20,57,4,1,299841.949904698,133.266159541013,27.7839357612474
3/12/20,68,4,1,299823.691146377,148.429572513968,30.8792811087065
3/13/20,76,4,2,299803.377499374,165.299299718226,34.3232009082367
3/14/20,96,4,2,299780.79242996,184.055194667584,38.1523753725047
3/15/20,98,13,2,299755.67840814,204.911087595531,42.4105042640512
3/16/20,104,13,2,299727.736907649,228.11478545525,47.1483068952912
3/17/20,125,14,3,299696.628405952,253.948071919617,52.4235221285138
3/18/20,139,14,3,299661.972384243,282.726707381202,58.3009083758823
3/19/20,175,15,4,299623.347327448,314.800428952271,64.8522435994341
3/20/20,219,20,5,299580.290724224,350.55295046478,72.1563253110809
3/21/20,303,23,4,299532.299066957,390.401962470382,80.2989705726083
3/22/20,362,27,7,299478.827851764,434.799132240422,89.3730159956764
3/23/20,462,27,10,299419.291578492,484.230103765939,99.4783177418192
3/24/20,486,40,10,299353.06375072,539.214497757665,110.721751522445
3/25/20,602,43,12,299279.379312425,600.385227200717,123.235460374418
3/26/20,662,45,20,299197.327968226,668.495425478219,137.176606295361
3/27/20,794,73,20,299106.093813594,744.22403351833,152.682152887524
3/28/20,879,84,24,299004.698778434,828.38339735415,169.917824211404
3/29/20,902,95,27,298891.99419187,921.926106528675,189.079701601399
3/30/20,1117,102,32,298766.660782239,1025.94499409479,210.394223665801
3/31/20,1239,123,35,298627.208677098,1141.67313661527,234.118186286804
4/1/20,1792,148,58,298471.977403217,1270.48385416279,260.538742620496
4/2/20,2280,191,72,298299.135886583,1413.89071031992,289.973403096867
4/3/20,2303,192,72,298106.682452401,1573.5475121791,322.770035419801
4/4/20,2767,229,86,297892.44482509,1751.24831034268,359.306864567084
4/5/20,3260,229,99,297654.080128287,1948.9273989229,399.992472790397
4/6/20,4267,375,136,297389.074884843,2168.65931554189,445.265799615321
4/7/20,4740,421,150,297094.745016827,2412.65884133168,495.596141841332
4/8/20,5232,506,178,296768.063384366,2683.39551497242,551.541100661544
4/9/20,5879,620,226,296405.398651268,2983.82694404023,613.774404691777
4/10/20,6578,774,246,296002.957735222,3317.12294187185,682.919322905767
4/11/20,7189,969,288,295556.441255757,3686.85162599577,759.707118247513
4/12/20,7794,1080,331,295061.026098843,4096.98994096134,844.983960195644
4/13/20,8914,1181,358,294511.365416898,4551.92365833877,939.710924763418
4/14/20,9735,1359,393,293901.588628782,5056.44737671914,1044.96399449872
4/15/20,10485,1432,405,293225.301419802,5615.76452171437,1161.93405848407
4/16/20,11214,1768,448,292475.585741706,6235.48734595729,1291.9269123366
4/17/20,11825,2041,486,291644.99981269,6921.63692910155,1436.36325820808
4/18/20,12738,2463,521,290725.578117393,7680.64317782168,1596.77870478493
4/19/20,14202,2854,559,289708.831406899,8519.34482581308,1774.82376728816
4/20/20,14674,3273,592,288585.746698735,9444.989433792,1972.26386747343
4/21/20,15460,3975,645,287346.787276873,10465.2333894956,2190.97933363102
4/22/20,16319,4370,681,285983.143608081,11586.9085541032,2432.94783781623
4/23/20,17344,5012,721,284487.097729519,12815.4890329242,2700.41323755648
4/24/20,18252,5498,780,282842.765329589,14164.1124893096,2996.12218110155
4/25/20,19519,5939,825,281034.061835409,15645.9057470857,3323.03241750538
4/26/20,20486,6523,881,279045.54141532,17273.1683482721,3684.29023640776
4/27/20,21375,7137,939,276862.396978884,19057.3725530815,4083.23046803434
4/28/20,22569,7747,1008,274470.460176884,21009.1633399195,4523.37648319664
4/29/20,23546,8437,1079,271856.201401323,23138.3584053848,5008.44019329203
4/30/20,24641,9068,1154,269006.729785427,25453.9481642694,5542.32205030376
5/1/20,26027,10007,1223,265909.793203641,27964.095749558,6129.11104680093
5/2/20,27557,10819,1323,262553.778271633,30676.1370124286,6773.08471593849
5/3/20,29339,11775,1391,258927.710346291,33596.5805222523,7478.70913145726
5/4/20,32024,12847,1566,255021.253525723,36731.1075665931,8250.63890768394
5/5/20,33565,14142,1693,250824.710649261,40084.5721512083,9093.71719953107
05/06/20,,,,246329.023297455,43661.0010000479,10012.975702497
05/07/20,,,,241528.327949411,47463.1260633598,11011.5459872295
05/08/20,,,,236422.180439441,51487.3795539292,12093.4400066294
05/09/20,,,,231012.482678148,55725.229784785,13265.287537067
05/10/20,,,,225304.947163273,60165.084361254,14532.9684754735
05/11/20,,,,219309.101068924,64792.2916691921,15901.6072618844
05/12/20,,,,213038.286245578,69589.1408749836,17375.5728794387
