State/UT	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Andhra Pradesh	6.8	7.1	7.3	7.3	7.4	7.5	7.6	7.6	7.5	7.4	7.3	7.3	7.0	8.0	8.1	8.2	8.2
Arunachal Pradesh	6.2	6.0	6.6	5.8	5.8	5.8	5.9	6.1	5.2	5.1	5.0	5.0	4.7	4.7	4.8	5.7	6.0
Assam	6.7	7.1	7.2	7.8	7.9	8.0	8.2	8.4	8.6	8.6	8.7	8.7	8.8	9.1	9.2	9.6	9.6
Bihar	6.0	6.2	6.2	6.6	6.6	6.7	6.8	7.0	7.3	7.5	7.7	8.1	8.1	7.9	7.9	8.2	8.8
Chhattisgarh	7.4	7.5	7.7	7.9	7.9	7.9	8.0	8.1	8.1	8.1	8.1	8.1	7.7	8.5	8.7	8.8	9.6
Delhi	4.0	3.6	3.8	4.1	4.2	4.3	4.2	4.4	4.8	4.8	4.7	4.6	4.7	5.0	5.1	5.1	5.1
Goa	6.7	6.4	6.6	6.6	6.6	6.7	6.6	6.7	6.6	7.2	7.4	7.1	7.2	8.1	8.3	7.7	7.4
Gujarat	6.1	6.1	6.2	6.5	6.6	6.7	6.7	6.9	6.9	7.2	7.3	7.1	6.9	7.6	7.7	7.8	7.5
Haryana	5.9	6.1	6.1	6.3	6.4	6.5	6.6	6.6	6.9	6.6	6.5	6.7	6.6	7.1	7.1	7.6	7.5
Himachal Pradesh	6.8	6.6	6.7	6.7	6.7	6.7	6.9	7.2	7.4	7.1	6.8	6.9	6.8	7.1	7.5	7.1	7.2
Jammu & Kashmir	5.0	4.9	5.1	5.3	5.4	5.5	5.7	5.7	5.8	5.8	5.9	5.5	5.6	5.7	5.7	6.1	6.2
Jharkhand	5.5	5.8	5.9	6.8	6.8	6.8	7.0	7.0	7.1	7.3	7.5	7.9	8.0	8.0	7.9	8.8	9.0
Karnataka	6.7	6.6	6.8	7.0	7.1	7.1	7.1	7.2	7.4	7.3	7.1	7.1	6.9	7.2	7.2	7.6	7.8
Kerala	7.6	6.6	6.6	6.9	6.9	7.0	7.0	6.8	6.6	6.8	6.7	6.4	6.1	6.3	6.4	6.6	6.4
Madhya Pradesh	7.1	7.5	7.8	8.0	8.1	8.2	8.3	8.5	8.6	8.7	8.9	9.0	9.2	9.8	9.8	10.1	10.3
Maharashtra	5.9	5.8	6.0	6.2	6.3	6.3	6.5	6.7	6.6	6.6	6.7	6.7	6.2	7.2	7.3	7.5	7.5
Manipur	4.5	4.0	4.3	4.0	4.0	4.1	4.2	4.7	5.0	4.4	4.5	4.1	4.3	4.8	4.6	5.2	5.6
Meghalaya	6.6	7.4	7.5	7.6	7.6	7.8	7.9	8.1	7.9	7.5	8.0	7.5	7.3	7.4	7.7	9.0	9.2
Mizoram	4.2	4.2	4.3	4.3	4.4	4.4	4.5	4.5	5.1	5.2	5.5	5.1	5.2	5.1	4.8	4.4	5.2
Nagaland	4.5	3.0	3.1	3.1	3.2	3.3	3.6	3.6	4.6	5.0	4.8	3.8	3.7
Odisha	7.8	7.6	7.9	8.4	8.5	8.5	8.6	8.8	9.0	9.2	9.3	9.5	9.6	9.7	9.8	10.4	10.5
Punjab	6.0	6.2	6.4	6.7	6.8	6.8	7.0	7.0	7.2	7.0	6.8	6.7	6.4	7.0	7.1	7.0	7.4
Rajasthan	6.1	6.3	6.4	6.5	6.6	6.7	6.7	6.6	6.8	6.8	6.9	7.0	7.0	7.6	7.7	8.0	8.5
Sikkim	4.7	5.0	5.1	5.2	5.4	5.6	5.6	5.7	5.2	5.3	5.6	5.1	4.9	5.0	4.9	5.1	5.7
Tamil Nadu	6.4	6.7	7.0	7.3	7.4	7.4	7.6	7.6	7.4	7.2	7.5	7.4	7.5	7.6	7.7	7.7	7.9
Telangana	6.1	6.5	6.7
Tripura	5.5	5.2	4.7	4.7	4.8	5.0	5.0	5.1	5.9	6.5	6.3	5.7	5.5	5.5	5.7	5.6	5.4
Uttar Pradesh	6.9	7.2	7.4	7.7	7.7	7.9	8.1	8.2	8.4	8.5	8.6	8.7	8.8	9.5	9.7	10.1	10.3
Uttarakhand	6.7	6.4	6.0	6.1	6.1	6.2	6.3	6.5	6.4	6.8	6.7	7.4	7.2	6.5	6.4	7.8	6.9
West Bengal	5.8	5.9	6.1	6.4	6.3	6.2	6.0	6.2	6.2	6.3	6.2	6.4	6.3	6.6	6.7	7.0	7.0
Andaman & Nicobar Islands	5.2	5.0	4.6	4.6	4.6	4.6	4.3	4.1	4.8	4.5	5.1	4.7	3.7	5.6	5.5	4.7	5.1
Chandigarh	4.5	4.4	4.0	4.0	4.0	4.1	3.9	3.9	4.4	4.0	4.1	4.5	2.9	3.8	3.4	3.6	3.9
D&N Haveli	4.0	3.9	4.2	4.4	4.5	4.6	4.7	4.8	5.4	4.8	4.8	5.1	5.2	6.1	6.8	6.5	7.8
Daman & Diu	4.6	4.7	4.6	4.9	4.8	4.9	4.9	5.1	5.3	5.5	5.5	5.6	5.8	6.6	6.6	6.7	6.6
Lakshadweep	6.0	6.2	6.1	6.3	6.4	6.4	6.4	5.8	7.1	6.5	6.4	6.3	7.3	5.2	5.2	5.0	6.0
Puducherry	7.2	6.8	6.6	7.0	7.1	7.2	7.4	7.0	7.5	7.7	7.3	7.1	8.0	6.3	6.7	7.0	6.5
India	6.4	6.5	6.7	7.0	7.0	7.1	7.2	7.3	7.4	7.4	7.5	7.6	7.5	8.0	8.1	8.4	8.5
