Date,State,District,Confirmed,Recovered,Deceased,Migrated,Tested
2020-04-26,Andaman and Nicobar Islands,Unknown,33,11,0,0,2679
2020-04-26,Andhra Pradesh,Anantapur,53,14,4,0,
2020-04-26,Andhra Pradesh,Chittoor,73,13,0,0,
2020-04-26,Andhra Pradesh,East Godavari,39,12,0,0,
2020-04-26,Andhra Pradesh,Guntur,214,29,8,0,
2020-04-26,Andhra Pradesh,Krishna,177,29,8,0,
2020-04-26,Andhra Pradesh,Kurnool,279,31,9,0,
2020-04-26,Andhra Pradesh,Prakasam,56,23,0,0,
2020-04-26,Andhra Pradesh,S.P.S. Nellore,72,23,2,0,
2020-04-26,Andhra Pradesh,Srikakulam,3,0,0,0,
2020-04-26,Andhra Pradesh,Visakhapatnam,22,19,0,0,
2020-04-26,Andhra Pradesh,West Godavari,51,10,0,0,
2020-04-26,Andhra Pradesh,Y.S.R. Kadapa,58,28,0,0,
2020-04-26,Arunachal Pradesh,Lohit,1,1,0,0,
2020-04-26,Assam,Cachar,1,1,0,0,
2020-04-26,Assam,Dhubri,5,3,0,0,
2020-04-26,Assam,Goalpara,4,3,0,0,
2020-04-26,Assam,Golaghat,9,8,0,0,
2020-04-26,Assam,Hailakandi,1,0,1,0,
2020-04-26,Assam,Kamrup,1,1,0,0,
2020-04-26,Assam,Kamrup Metropolitan,1,1,0,0,
2020-04-26,Assam,Karimganj,1,0,0,0,
2020-04-26,Assam,Lakhimpur,1,1,0,0,
2020-04-26,Assam,Morigaon,6,4,0,0,
2020-04-26,Assam,Nalbari,4,4,0,0,
2020-04-26,Assam,Other State,1,0,0,0,
2020-04-26,Assam,South Salmara Mankachar,1,1,0,0,
2020-04-26,Bihar,Arwal,4,0,0,0,
2020-04-26,Bihar,Aurangabad,2,0,0,0,
2020-04-26,Bihar,Banka,2,0,0,0,
2020-04-26,Bihar,Begusarai,9,1,0,0,
2020-04-26,Bihar,Bhagalpur,5,1,0,0,
2020-04-26,Bihar,Bhojpur,2,1,0,0,
2020-04-26,Bihar,Buxar,25,1,0,0,
2020-04-26,Bihar,East Champaran,5,0,0,0,
2020-04-26,Bihar,Gaya,6,5,0,0,
2020-04-26,Bihar,Gopalganj,12,3,0,0,
2020-04-26,Bihar,Jehanabad,1,0,0,0,
2020-04-26,Bihar,Kaimur,14,0,0,0,
2020-04-26,Bihar,Lakhisarai,1,1,0,0,
2020-04-26,Bihar,Madhepura,1,0,0,0,
2020-04-26,Bihar,Munger,68,11,1,0,
2020-04-26,Bihar,Nalanda,34,6,0,0,
2020-04-26,Bihar,Nawada,3,2,0,0,
2020-04-26,Bihar,Patna,33,5,0,0,
2020-04-26,Bihar,Rohtas,15,0,0,0,
2020-04-26,Bihar,Saran,3,1,0,0,
2020-04-26,Bihar,Siwan,30,18,0,0,
2020-04-26,Bihar,Vaishali,2,0,1,0,
2020-04-26,Chandigarh,Chandigarh,36,17,0,0,756
