Date,day,month,year,popData2018,Daily_total_tests,Daily_tests_per_thousand,tests_per_thousand,cases,deaths,Lockdown,Public Health Measures,Governance and socio-economic measures,Humanitarian exemption,Social distancing,Movement restrictions
2019-12-31,31,12,2019,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,1,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,2,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,3,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,4,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,5,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,6,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,7,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,8,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,9,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,10,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,11,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,12,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,13,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,14,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,15,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,16,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,17,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,18,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,19,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,20,1,2020,51635256,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,21,1,2020,51635256,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,22,1,2020,51635256,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,23,1,2020,51635256,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,24,1,2020,51635256,5,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,25,1,2020,51635256,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,26,1,2020,51635256,5,0.0,0.001,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,27,1,2020,51635256,9,0.0,0.001,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,28,1,2020,51635256,130,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,29,1,2020,51635256,116,0.0,0.002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,30,1,2020,51635256,102,0.0,0.002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,31,1,2020,51635256,88,0.0,0.003,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,1,2,2020,51635256,74,0.0,0.003,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,2,2,2020,51635256,58,0.001,0.004,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,3,2,2020,51635256,74,0.001,0.005,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,4,2,2020,51635256,90,0.001,0.006,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,5,2,2020,51635256,107,0.001,0.006999999999999999,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,6,2,2020,51635256,171,0.001,0.008,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,7,2,2020,51635256,245,0.001,0.009000000000000001,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,8,2,2020,51635256,571,0.001,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,9,2,2020,51635256,639,0.002,0.012,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,10,2,2020,51635256,436,0.005,0.017,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,11,2,2020,51635256,853,0.004,0.02,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,12,2,2020,51635256,1445,0.006,0.026000000000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,13,2,2020,51635256,723,0.011000000000000001,0.037000000000000005,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,14,2,2020,51635256,1057,0.006999999999999999,0.044000000000000004,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,15,2,2020,51635256,665,0.0,0.044000000000000004,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,16,2,2020,51635256,400,0.002,0.046,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,17,2,2020,51635256,252,0.021,0.067,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,18,2,2020,51635256,1094,0.006,0.073,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,19,2,2020,51635256,1146,0.004,0.077,15,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,20,2,2020,51635256,1750,0.005,0.08199999999999999,34,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,21,2,2020,51635256,2655,0.005,0.087,75,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,22,2,2020,51635256,4805,0.004,0.091,190,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,23,2,2020,51635256,3012,0.003,0.094,256,3,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,24,2,2020,51635256,5982,0.003,0.09699999999999999,161,2,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,25,2,2020,51635256,8101,0.004,0.10099999999999999,130,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,26,2,2020,51635256,9411,0.005,0.106,254,3,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,27,2,2020,51635256,11863,0.008,0.114,449,1,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-28,28,2,2020,51635256,12950,0.019,0.133,427,1,0.0,0.0,0.0,0.0,2.0,0.0
2020-02-29,29,2,2020,51635256,14753,0.022000000000000002,0.156,909,3,0.0,0.0,0.0,0.0,3.0,0.0
2020-03-01,1,3,2020,51635256,11292,0.019,0.175,595,1,0.0,0.0,0.0,0.0,4.0,0.0
2020-03-02,2,3,2020,51635256,12606,0.026000000000000002,0.201,686,5,0.0,0.0,0.0,0.0,5.0,0.0
2020-03-03,3,3,2020,51635256,16260,0.006,0.207,600,6,0.0,0.0,0.0,0.0,6.0,0.0
2020-03-04,4,3,2020,51635256,10856,0.040999999999999995,0.247,516,4,0.0,0.0,0.0,0.0,7.0,0.0
2020-03-05,5,3,2020,51635256,9834,0.021,0.26899999999999996,438,3,0.0,0.0,0.0,0.0,8.0,0.0
2020-03-06,6,3,2020,51635256,18199,0.033,0.302,518,7,0.0,0.0,0.0,0.0,9.0,0.0
2020-03-07,7,3,2020,51635256,13449,0.017,0.319,483,2,0.0,0.0,0.0,0.0,10.0,0.0
2020-03-08,8,3,2020,51635256,10329,0.03,0.349,367,6,0.0,0.0,0.0,0.0,11.0,0.0
2020-03-09,9,3,2020,51635256,8100,0.021,0.371,248,1,0.0,0.0,0.0,0.0,12.0,0.0
2020-03-10,10,3,2020,51635256,13526,0.019,0.39,131,3,0.0,2.0,0.0,0.0,13.0,1.0
2020-03-11,11,3,2020,51635256,12251,0.018000000000000002,0.408,242,6,0.0,4.0,0.0,0.0,14.0,2.0
2020-03-12,12,3,2020,51635256,12603,0.034,0.442,114,6,0.0,6.0,0.0,0.0,15.0,4.0
2020-03-13,13,3,2020,51635256,13649,0.045,0.48700000000000004,110,1,0.0,8.0,0.0,0.0,16.0,6.0
2020-03-14,14,3,2020,51635256,12688,0.07400000000000001,0.561,107,5,0.0,10.0,0.0,0.0,17.0,8.0
2020-03-15,15,3,2020,51635256,6877,0.038,0.598,76,3,0.0,12.0,0.0,0.0,18.0,10.0
2020-03-16,16,3,2020,51635256,6292,0.057,0.655,74,0,0.0,15.0,0.0,0.0,20.0,13.0
2020-03-17,17,3,2020,51635256,12212,0.094,0.7490000000000001,84,6,0.0,18.0,0.0,0.0,22.0,16.0
2020-03-18,18,3,2020,51635256,8931,0.086,0.835,93,5,0.0,21.0,0.0,0.0,24.0,19.0
2020-03-19,19,3,2020,51635256,11377,0.125,0.96,152,5,0.0,24.0,0.0,0.0,26.0,22.0
2020-03-20,20,3,2020,51635256,9640,0.035,0.995,87,9,0.0,28.0,0.0,0.0,28.0,25.0
2020-03-21,21,3,2020,51635256,10845,0.087,1.081,147,3,0.0,32.0,0.0,0.0,30.0,28.0
2020-03-22,22,3,2020,51635256,4271,0.08199999999999999,1.163,98,1,1.0,36.0,0.0,0.0,32.0,31.0
2020-03-23,23,3,2020,51635256,6256,0.083,1.247,64,9,2.0,40.0,0.0,0.0,34.0,34.0
2020-03-24,24,3,2020,51635256,10546,0.096,1.3430000000000002,76,7,3.0,44.0,0.0,0.0,36.0,37.0
2020-03-25,25,3,2020,51635256,9314,0.098,1.4409999999999998,100,6,4.0,48.0,0.0,0.0,38.0,40.0
2020-03-26,26,3,2020,51635256,7046,0.11699999999999999,1.557,104,5,5.0,52.0,0.0,0.0,40.0,43.0
2020-03-27,27,3,2020,51635256,12019,0.132,1.69,91,8,6.0,56.0,0.0,0.0,42.0,46.0
2020-03-28,28,3,2020,51635256,10964,0.10400000000000001,1.794,146,5,7.0,60.0,0.0,0.0,44.0,49.0
2020-03-29,29,3,2020,51635256,6216,0.10300000000000001,1.8969999999999998,105,8,8.0,64.0,0.0,0.0,46.0,52.0
2020-03-30,30,3,2020,51635256,1053,0.107,2.004,78,6,9.0,68.0,0.0,0.0,48.0,55.0
2020-03-31,31,3,2020,51635256,15370,0.122,2.126,125,5,10.0,72.0,0.0,0.0,50.0,58.0
2020-04-01,1,4,2020,51635256,10983,0.145,2.272,0,0,11.0,76.0,0.0,0.0,52.0,61.0
2020-04-02,2,4,2020,51635256,10196,0.152,2.424,190,6,12.0,80.0,0.0,0.0,54.0,64.0
2020-04-03,3,4,2020,51635256,11530,0.157,2.5810000000000004,86,5,13.0,84.0,0.0,0.0,56.0,67.0
2020-04-04,4,4,2020,51635256,11759,0.14,2.721,94,3,14.0,88.0,0.0,0.0,58.0,70.0
2020-04-05,5,4,2020,51635256,6201,0.183,2.904,81,6,15.0,92.0,0.0,0.0,60.0,73.0
2020-04-06,6,4,2020,51635256,5571,0.198,3.1010000000000004,47,3,16.0,96.0,0.0,0.0,62.0,76.0
2020-04-07,7,4,2020,51635256,10500,0.065,3.1660000000000004,47,6,17.0,100.0,0.0,0.0,64.0,79.0
2020-04-08,8,4,2020,51635256,8699,0.29,3.4560000000000004,53,8,18.0,104.0,0.0,0.0,66.0,82.0
2020-04-09,9,4,2020,51635256,8708,0.159,3.615,39,4,19.0,108.0,0.0,0.0,68.0,85.0
