Date,day,month,year,popData2018,Daily_total_tests,Daily_tests_per_thousand,tests_per_thousand,cases,deaths,Lockdown,Public_Health,Governance_and_socioeconomic,Humanitarian_exemption,Social_distancing,Movement_restrictions
2019-12-31,31,12,2019,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,1,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,2,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,3,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,4,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,5,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,6,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,7,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,8,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,9,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,10,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,11,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,12,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,13,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,14,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,15,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,16,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,17,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,18,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,19,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,20,1,2020,327167434,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,21,1,2020,327167434,1,0,0,1,0,0,0,1,0,0,0
2020-01-22,22,1,2020,327167434,0,0,0,0,0,0,1,2,0,0,0
2020-01-23,23,1,2020,327167434,0,0,0,0,0,0,2,3,0,0,0
2020-01-24,24,1,2020,327167434,0,0,0,0,0,0,3,4,0,0,0
2020-01-25,25,1,2020,327167434,1,0,0,1,0,0,4,5,0,0,0
2020-01-26,26,1,2020,327167434,0,0,0,0,0,0,5,6,0,0,0
2020-01-27,27,1,2020,327167434,3,0,0,3,0,0,6,7,0,0,0
2020-01-28,28,1,2020,327167434,0,0,0,0,0,0,7,8,0,0,0
2020-01-29,29,1,2020,327167434,0,0,0,0,0,0,8,9,0,0,0
2020-01-30,30,1,2020,327167434,0,0,0,0,0,0,9,10,0,0,0
2020-01-31,31,1,2020,327167434,1,0,0,1,0,0,10,12,0,0,1
2020-02-01,1,2,2020,327167434,1,0,0,1,0,0,11,14,0,0,2
2020-02-02,2,2,2020,327167434,1,0,0,1,0,0,12,16,0,0,3
2020-02-03,3,2,2020,327167434,3,0,0,3,0,0,13,18,0,0,4
2020-02-04,4,2,2020,327167434,0,0,0,0,0,0,14,20,0,0,5
2020-02-05,5,2,2020,327167434,0,0,0,0,0,0,15,22,0,0,6
2020-02-06,6,2,2020,327167434,1,0,0,1,0,0,16,24,0,0,7
2020-02-07,7,2,2020,327167434,0,0,0,0,0,0,17,26,0,0,8
2020-02-08,8,2,2020,327167434,0,0,0,0,0,0,18,28,0,0,9
2020-02-09,9,2,2020,327167434,0,0,0,0,0,0,19,30,0,0,10
2020-02-10,10,2,2020,327167434,0,0,0,0,0,0,20,32,0,0,11
2020-02-11,11,2,2020,327167434,1,0,0,1,0,0,21,34,0,0,12
2020-02-12,12,2,2020,327167434,0,0,0,0,0,0,22,36,0,0,13
2020-02-13,13,2,2020,327167434,1,0,0,1,0,0,23,38,0,0,14
2020-02-14,14,2,2020,327167434,1,0,0,1,0,0,24,40,0,0,15
2020-02-15,15,2,2020,327167434,0,0,0,0,0,0,25,42,0,0,16
2020-02-16,16,2,2020,327167434,0,0,0,0,0,0,26,44,0,0,17
2020-02-17,17,2,2020,327167434,0,0,0,0,0,0,27,46,0,0,18
2020-02-18,18,2,2020,327167434,0,0,0,0,0,0,28,48,0,0,19
2020-02-19,19,2,2020,327167434,0,0,0,0,0,0,29,50,0,0,20
2020-02-20,20,2,2020,327167434,0,0,0,0,0,0,30,52,0,0,21
2020-02-21,21,2,2020,327167434,1,0,0,1,0,0,31,54,0,0,22
2020-02-22,22,2,2020,327167434,19,0,0,19,0,0,32,56,0,0,23
2020-02-23,23,2,2020,327167434,0,0,0,0,0,0,33,58,0,0,24
2020-02-24,24,2,2020,327167434,0,0,0,0,0,0,34,60,0,0,25
2020-02-25,25,2,2020,327167434,18,0,0,18,0,0,35,62,0,0,26
2020-02-26,26,2,2020,327167434,0,0,0,0,0,0,36,64,0,0,27
2020-02-27,27,2,2020,327167434,6,0,0,6,0,0,37,66,0,0,28
2020-02-28,28,2,2020,327167434,1,0,0,1,0,0,39,68,0,0,29
2020-02-29,29,2,2020,327167434,9,0,0,6,0,0,41,70,0,0,30
2020-03-01,1,3,2020,327167434,22,0,0,3,1,0,43,72,0,0,31
2020-03-02,2,3,2020,327167434,13,0,0,20,1,0,45,75,0,0,32
2020-03-03,3,3,2020,327167434,47,0,0,14,4,0,47,78,0,0,33
2020-03-04,4,3,2020,327167434,868,0.003,0.003,22,3,0,49,81,0,0,34
2020-03-05,5,3,2020,327167434,278,0.004,0.001,34,2,0,51,84,0,0,35
2020-03-06,6,3,2020,327167434,736,0.006,0.002,74,1,0,53,87,0,0,36
2020-03-07,7,3,2020,327167434,407,0.007,0.001,105,2,0,55,90,0,0,37
2020-03-08,8,3,2020,327167434,677,0.009,0.002,95,3,0,58,93,0,0,38
2020-03-09,9,3,2020,327167434,1326,0.013,0.004,121,4,0,61,96,0,0,39
2020-03-10,10,3,2020,327167434,785,0.016,0.002,200,5,0,64,99,0,0,40
2020-03-11,11,3,2020,327167434,2686,0.024,0.008,271,2,0,67,102,0,1,41
2020-03-12,12,3,2020,327167434,2399,0.031,0.007,287,2,0,70,105,0,2,42
2020-03-13,13,3,2020,327167434,6446,0.05,0.019,351,10,0,73,108,0,4,43
2020-03-14,14,3,2020,327167434,4240,0.063,0.013,511,7,0,77,111,0,6,44
2020-03-15,15,3,2020,327167434,6578,0.083,0.02,777,10,0,81,114,0,8,45
2020-03-16,16,3,2020,327167434,14760,0.128,0.045,823,12,0,86,117,0,10,46
2020-03-17,17,3,2020,327167434,14133,0.17,0.043,887,16,0,91,120,0,12,47
2020-03-18,18,3,2020,327167434,21688,0.236,0.065,1766,23,0,96,123,0,14,48
2020-03-19,19,3,2020,327167434,25966,0.314,0.078,2988,42,0,101,126,0,16,49
2020-03-20,20,3,2020,327167434,35805,0.422,0.108,4835,0,0,106,129,0,18,51
2020-03-21,21,3,2020,327167434,45093,0.558,0.136,5374,110,0,111,132,0,20,53
2020-03-22,22,3,2020,327167434,46526,0.698,0.14,7123,80,0,116,136,0,22,55
2020-03-23,23,3,2020,327167434,55729,0.867,0.168,8459,131,0,121,140,0,24,57
